	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-SOG-1619	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-DS-623	0.0	0.48	0.423	0.845	0.814	0.973	0.51	0.834	0.862	0.999	0.935	0.824	0.941	1.0	0.54	0.911	0.853	1.0	0.999	0.919	0.449	0.971	0.478	0.503	0.53	0.982	0.995	0.901	0.684	0.995	0.405	0.997	1.0	1.0	0.482	0.81	0.449	0.987	0.637	0.38	0.676	0.505	0.52	0.832	0.925	0.395	0.986	0.742	0.992	0.453	0.523	1.0	0.804	0.451	0.596	0.701	1.0	0.896
E-JT-526	0.48	0.0	0.373	0.842	0.788	0.972	0.44	0.82	0.871	0.998	0.939	0.788	0.949	0.998	0.455	0.911	0.86	0.998	0.998	0.911	0.479	0.973	0.535	0.559	0.449	0.983	0.993	0.912	0.624	0.994	0.491	0.995	0.998	0.998	0.404	0.766	0.372	0.986	0.577	0.468	0.668	0.423	0.442	0.836	0.919	0.456	0.986	0.723	0.99	0.476	0.421	0.998	0.792	0.388	0.504	0.661	0.998	0.883
E-LS-526	0.423	0.373	0.0	0.836	0.776	0.973	0.381	0.808	0.873	1.0	0.941	0.78	0.953	1.0	0.417	0.91	0.859	1.0	1.0	0.919	0.465	0.975	0.491	0.541	0.435	0.984	0.994	0.907	0.609	0.993	0.423	0.997	1.0	1.0	0.377	0.742	0.342	0.987	0.567	0.46	0.657	0.387	0.402	0.835	0.92	0.441	0.984	0.727	0.99	0.487	0.41	1.0	0.757	0.362	0.482	0.65	1.0	0.883
E-CR-2016	0.845	0.842	0.836	0.0	0.878	0.975	0.814	0.845	0.945	0.998	0.969	0.883	0.969	0.999	0.825	0.954	0.938	0.999	0.998	0.961	0.816	0.977	0.817	0.842	0.836	0.985	0.995	0.957	0.886	0.995	0.823	0.996	0.999	0.999	0.813	0.909	0.846	0.993	0.865	0.852	0.894	0.844	0.828	0.926	0.964	0.823	0.994	0.838	0.994	0.863	0.875	0.999	0.911	0.852	0.834	0.88	0.999	0.953
E-TL-2016	0.814	0.788	0.776	0.878	0.0	0.988	0.769	0.765	0.955	0.998	0.968	0.769	0.975	1.0	0.742	0.946	0.935	1.0	1.0	0.973	0.771	0.985	0.803	0.801	0.786	0.991	0.997	0.969	0.847	0.993	0.791	0.998	1.0	1.0	0.761	0.739	0.779	0.995	0.848	0.796	0.841	0.794	0.795	0.916	0.965	0.79	0.986	0.57	0.991	0.797	0.809	1.0	0.756	0.769	0.788	0.861	0.999	0.957
E-VP-2016	0.973	0.972	0.973	0.975	0.988	0.0	0.976	0.991	0.743	0.778	0.814	0.986	0.714	0.629	0.902	0.348	0.373	0.671	0.757	0.734	0.918	0.315	0.846	0.972	0.97	0.72	0.618	0.486	0.656	0.592	0.969	0.316	0.541	0.591	0.971	0.989	0.966	0.365	0.842	0.971	0.694	0.965	0.959	0.45	0.757	0.963	0.603	0.984	0.514	0.973	0.977	0.647	0.99	0.97	0.904	0.79	0.859	0.727
E-DS-428	0.51	0.44	0.381	0.814	0.769	0.976	0.0	0.806	0.896	0.998	0.939	0.778	0.952	0.999	0.445	0.915	0.868	0.999	0.999	0.914	0.48	0.977	0.528	0.561	0.381	0.982	0.995	0.918	0.632	0.994	0.481	0.996	0.998	0.999	0.411	0.744	0.434	0.987	0.514	0.524	0.657	0.369	0.357	0.842	0.915	0.494	0.987	0.707	0.991	0.541	0.393	0.999	0.761	0.42	0.418	0.611	0.999	0.88
E-TL-Aug-2014	0.834	0.82	0.808	0.845	0.765	0.991	0.806	0.0	0.958	0.999	0.978	0.745	0.98	1.0	0.775	0.961	0.943	1.0	1.0	0.974	0.815	0.992	0.851	0.839	0.821	0.992	0.997	0.979	0.866	0.996	0.812	1.0	0.999	1.0	0.807	0.668	0.819	0.999	0.862	0.837	0.866	0.815	0.829	0.955	0.972	0.83	0.995	0.836	0.997	0.864	0.838	1.0	0.683	0.814	0.825	0.865	1.0	0.96
E-SOG-3619	0.862	0.871	0.873	0.945	0.955	0.743	0.896	0.958	0.0	0.801	0.762	0.941	0.7	0.807	0.832	0.736	0.726	0.865	0.912	0.823	0.814	0.741	0.747	0.882	0.881	0.832	0.826	0.648	0.752	0.816	0.868	0.783	0.809	0.826	0.879	0.953	0.871	0.771	0.826	0.866	0.777	0.894	0.879	0.711	0.837	0.855	0.845	0.933	0.773	0.868	0.905	0.873	0.955	0.862	0.852	0.788	0.85	0.813
E-SOG-6527	0.999	0.998	1.0	0.998	0.998	0.778	0.998	0.999	0.801	0.0	0.481	1.0	0.488	0.833	0.952	0.842	0.846	0.855	0.937	0.751	0.947	0.826	0.903	0.999	0.994	0.771	0.823	0.814	0.867	0.861	0.998	0.794	0.839	0.893	0.998	1.0	0.994	0.84	0.88	0.999	0.881	0.987	0.979	0.852	0.8	0.989	0.903	1.0	0.844	0.998	1.0	0.895	1.0	0.989	0.926	0.831	0.53	0.779
