	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-SOG-1619	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-DS-623	0.0	0.617200256167	0.567062422502	0.762536620708	0.711274571748	0.845076236751	0.60732522705	0.794309178219	0.748378892314	0.859987158412	0.75028281569	0.76531553985	0.769379216035	0.888604919519	0.632083183307	0.793112188595	0.76226308002	0.877253831833	0.879865757999	0.750546884274	0.626698680754	0.831104268393	0.628678394101	0.65213295475	0.629024329425	0.847938608743	0.883758348461	0.773877567476	0.687951844313	0.841281081127	0.554578634585	0.887219595557	0.8930872614	0.88761752598	0.609180631554	0.748719311872	0.624044019449	0.841326877105	0.697887872045	0.550455669533	0.671766240492	0.650246008713	0.630185600902	0.764719522345	0.787646523616	0.529341100391	0.843391263492	0.695518593786	0.869995948746	0.53485624078	0.631497507704	0.905987041531	0.748397033755	0.600866930991	0.700200106086	0.699068778754	0.886922314324	0.749831412004
E-JT-526	0.617200256167	0.0	0.6243698891	0.785174522887	0.739291081486	0.861105539569	0.63097246381	0.786987651886	0.783123225231	0.876086755457	0.77758428834	0.781136162677	0.79288756813	0.897680322841	0.625078664707	0.814271107755	0.7858701165	0.891429779097	0.887001498018	0.774378950719	0.644404804171	0.843644036833	0.695392126319	0.688713091725	0.650765521861	0.873771106517	0.900166605183	0.780465017946	0.689732336729	0.869856731884	0.662838801246	0.893589052732	0.894816231726	0.904826466811	0.614809663787	0.768295516846	0.585448016197	0.862503763455	0.713052060262	0.646058040318	0.709158548626	0.646661290021	0.650302602827	0.799131464506	0.815468307313	0.622577522473	0.859771505418	0.732467947557	0.883613511153	0.629980859898	0.654364632854	0.919935182609	0.76707473388	0.642945401772	0.675232591699	0.706950645423	0.895169372253	0.774807284936
E-LS-526	0.567062422502	0.6243698891	0.0	0.775390014227	0.726236002473	0.84037877943	0.574870770988	0.79152187361	0.773356337177	0.865329833666	0.754530839408	0.765835416625	0.782113120266	0.884577012761	0.62390848431	0.810046251257	0.771752464094	0.873326451203	0.88084248005	0.759974848609	0.643323735391	0.83901500548	0.651866775969	0.670610604418	0.607829890615	0.856735935745	0.882848891167	0.777686717792	0.666118683553	0.839401342356	0.593999313671	0.886462054338	0.893077748854	0.88816634667	0.576880911212	0.752257624808	0.54727666482	0.844594306818	0.695992329691	0.604301339759	0.684889438115	0.611041931143	0.621738853155	0.774573419708	0.793861292509	0.589722684629	0.836490091182	0.671828545426	0.864164884319	0.592996144289	0.588691714499	0.911155977639	0.739995372235	0.576864929368	0.674433364056	0.696569390296	0.88695654428	0.742975185226
E-CR-2016	0.762536620708	0.785174522887	0.775390014227	0.0	0.724754713442	0.850874246813	0.762404329339	0.75884841341	0.808876815235	0.857268667799	0.791101928797	0.762730866794	0.800955082062	0.875376321377	0.773605981248	0.813042544099	0.802864787063	0.89125163184	0.883859655555	0.804803134087	0.778989385841	0.851560279403	0.79546975392	0.782365794302	0.773893630337	0.871625940433	0.892106529272	0.801185293729	0.800113954876	0.870136783175	0.745349751113	0.889422296894	0.890327514824	0.894087104108	0.751785167671	0.783460514152	0.791006064438	0.859990938693	0.789062038078	0.774891777682	0.805256912824	0.775928598543	0.776418496981	0.812672710909	0.821011518765	0.753325729931	0.849040553361	0.732915559587	0.889540781399	0.773486131717	0.757596868561	0.911444439813	0.749053161767	0.770953785253	0.789231414158	0.810769942356	0.882839641473	0.817295760197
E-TL-2016	0.711274571748	0.739291081486	0.726236002473	0.724754713442	0.0	0.843178127974	0.713352729168	0.709289934346	0.815681275236	0.846305442648	0.799596777366	0.68040707992	0.76600478053	0.867355184726	0.739765614122	0.80346400499	0.794182431364	0.875750944443	0.861230034413	0.798015285996	0.756299177486	0.827425365683	0.764981081648	0.77571677816	0.763989467073	0.862129853579	0.885556266418	0.798993149383	0.760651267844	0.847550391644	0.718854405762	0.879178768921	0.883127854428	0.881244202863	0.712987070189	0.675034234938	0.749012541253	0.836554969104	0.785120213335	0.748366783878	0.778330206159	0.769777962597	0.773943473216	0.797799340284	0.831059811123	0.744008305961	0.84499441418	0.614024231317	0.883988580161	0.733739634678	0.751133231675	0.906313955921	0.643812957016	0.735393863689	0.793931927257	0.781561828101	0.865728418174	0.79411842595
E-VP-2016	0.845076236751	0.861105539569	0.84037877943	0.850874246813	0.843178127974	0.0	0.860592335689	0.856760081648	0.696551039634	0.589429514009	0.657839943447	0.822084747686	0.630569165117	0.685969025647	0.755579434881	0.58221246067	0.614041188898	0.64636353402	0.730043158516	0.631093411607	0.754079660965	0.546181891609	0.696816087615	0.83950119085	0.819835236183	0.612292978845	0.618461004369	0.610792886758	0.690101788039	0.63935724027	0.823745193832	0.537358934778	0.620671506489	0.636182461062	0.839834732449	0.842708128717	0.830867712602	0.579669656671	0.699103436278	0.842810268512	0.675582629575	0.804487855627	0.761710867302	0.603429837974	0.650435778728	0.815625173234	0.645438484816	0.837571665234	0.618275885155	0.829908259689	0.833734752978	0.695449463433	0.836558480065	0.813886222684	0.696951889029	0.656800919232	0.654684694417	0.636489107847
E-DS-428	0.60732522705	0.63097246381	0.574870770988	0.762404329339	0.713352729168	0.860592335689	0.0	0.770781680993	0.78683039321	0.866107079538	0.770533269951	0.736094485737	0.786598839299	0.896010887693	0.598452581055	0.812903102058	0.776795535121	0.885305946241	0.890294252746	0.748026419188	0.654606374086	0.85722866721	0.666172124395	0.675707018447	0.630237213947	0.875195890494	0.89466210643	0.792867992318	0.680885204274	0.860335970344	0.627017913274	0.892718577255	0.873982742038	0.897620111266	0.609615170835	0.749317825423	0.614399632563	0.847876538251	0.70125187488	0.64258619285	0.697744073075	0.621622152534	0.658750875521	0.793309577328	0.803346775388	0.628971989046	0.858577913334	0.700915024435	0.879152842239	0.637944648001	0.613655457462	0.913257002425	0.74721418633	0.618937670957	0.638101327703	0.693537271416	0.888211684935	0.757574464929
E-TL-Aug-2014	0.794309178219	0.786987651886	0.79152187361	0.75884841341	0.709289934346	0.856760081648	0.770781680993	0.0	0.833836111767	0.885172449902	0.855781550238	0.660969876689	0.848267539644	0.90289888526	0.789456245628	0.829122318822	0.821327415404	0.891316198066	0.889938318574	0.832234678361	0.809254220935	0.856107317815	0.803079142118	0.776410643146	0.799745942535	0.877414929294	0.87061999038	0.830308529661	0.809048159121	0.871628267738	0.762598926532	0.889312738434	0.884684215044	0.882706000806	0.788052063841	0.708780579433	0.77916715513	0.886672702893	0.801223557374	0.793609329825	0.816127475967	0.7866787295	0.780369107022	0.811014621587	0.841711852182	0.776402520275	0.8546653784	0.749483346585	0.894444529519	0.791970004206	0.78362467184	0.920741347802	0.697706595048	0.807997446902	0.797061084789	0.83208490495	0.908328472871	0.842028888475
E-SOG-3619	0.748378892314	0.783123225231	0.773356337177	0.808876815235	0.815681275236	0.696551039634	0.78683039321	0.833836111767	0.0	0.733909303194	0.646771104415	0.814499031238	0.645233450392	0.775455338144	0.707308436626	0.669917489456	0.703555667083	0.767042416725	0.800677528989	0.691961791221	0.686553841662	0.684281277276	0.64824091623	0.760543456281	0.752547980124	0.704163341102	0.777345104325	0.667231186966	0.688155055529	0.777292102786	0.747925252747	0.756866006058	0.80031888531	0.770240546739	0.771349133543	0.823396385525	0.752068100788	0.75311339347	0.702014486004	0.742871798186	0.684767483167	0.780772587035	0.717166769098	0.666543727967	0.696665795237	0.719584431404	0.766748917396	0.798416597596	0.704703585236	0.757210507981	0.768146040127	0.813531344727	0.810915923328	0.729768529779	0.679390043726	0.682235424482	0.786053872362	0.69484516403
E-SOG-6527	0.859987158412	0.876086755457	0.865329833666	0.857268667799	0.846305442648	0.589429514009	0.866107079538	0.885172449902	0.733909303194	0.0	0.565868236146	0.856118523861	0.628001008377	0.633965566982	0.798952576595	0.697674292473	0.701736280637	0.671312774107	0.739613595549	0.66090330652	0.798689805195	0.642925603437	0.752257221629	0.867210122041	0.846431162908	0.657508398151	0.691703515501	0.649219757305	0.735608983969	0.699220905742	0.851929479235	0.629998418508	0.629346427311	0.692208458372	0.867580730986	0.857186256303	0.857608891411	0.59741757334	0.759886709871	0.852632080981	0.706041082951	0.830096758249	0.808435475738	0.704717937561	0.673591929079	0.828097782269	0.694666800759	0.835825946756	0.705045783513	0.865492907322	0.870814956633	0.697074397707	0.857852800562	0.837875551873	0.759081661189	0.717077191589	0.528932477499	0.661756365905
E-SOG-5527	0.75028281569	0.77758428834	0.754530839408	0.791101928797	0.799596777366	0.657839943447	0.770533269951	0.855781550238	0.646771104415	0.565868236146	0.0	0.818097537354	0.584097231527	0.689209536472	0.704044424965	0.691907617805	0.682314917706	0.707021637556	0.775201842929	0.606033019309	0.704855988468	0.679186106754	0.688941333779	0.801438887415	0.762634078913	0.665644515036	0.74962612863	0.595856205811	0.678376607297	0.734224022298	0.759080250803	0.718908396333	0.710049432793	0.755569499052	0.769956723724	0.817266093342	0.754630286851	0.679711969859	0.697044318358	0.771938760562	0.670224608253	0.745492599861	0.743818231473	0.662261721728	0.63851631496	0.741968770584	0.738565721605	0.770961431874	0.73122492217	0.770249931928	0.779230712152	0.766109649293	0.807871618026	0.737008052507	0.700301045408	0.652257639776	0.646091457663	0.620184519511
E-TL-Jul-2014	0.76531553985	0.781136162677	0.765835416625	0.762730866794	0.68040707992	0.822084747686	0.736094485737	0.660969876689	0.814499031238	0.856118523861	0.818097537354	0.0	0.807106324662	0.876321793272	0.745092623588	0.801850544641	0.798305708792	0.871225724903	0.880571808832	0.810707698017	0.795313298545	0.827675324864	0.784445709133	0.778263553728	0.793901207873	0.856613786909	0.844905588334	0.810259010591	0.756909916615	0.841993561691	0.717628787414	0.882326969729	0.867504656541	0.860752172315	0.751356752939	0.64579231606	0.759311679591	0.855410247136	0.796156021374	0.777533300695	0.799909481843	0.767143202593	0.772743841474	0.801434082615	0.841222215346	0.739756609254	0.841544324125	0.715682311581	0.870985043412	0.772454713736	0.748666355696	0.891069124606	0.673732897409	0.782452141408	0.784173376768	0.79534748948	0.878957864644	0.826297597836
E-SOG-5619	0.769379216035	0.79288756813	0.782113120266	0.800955082062	0.76600478053	0.630569165117	0.786598839299	0.848267539644	0.645233450392	0.628001008377	0.584097231527	0.807106324662	0.0	0.718515361012	0.694795017028	0.648874164946	0.687906160211	0.699801390159	0.766826486332	0.598006474723	0.672058472728	0.6507506858	0.663102065416	0.802686719584	0.767724626265	0.6566472221	0.718461277679	0.632961735579	0.63950817333	0.740714388064	0.774006879369	0.682742844565	0.707350046005	0.720977714563	0.785588789286	0.786143735991	0.783059375225	0.683822688258	0.722103039172	0.760555784991	0.663597745401	0.746366475179	0.724751333591	0.665875940506	0.671399778023	0.751202028651	0.730160485788	0.761809327002	0.711313562422	0.78159272635	0.777655581504	0.762391044379	0.777831082495	0.767907778827	0.679391529263	0.636145500452	0.637778806334	0.620348254577
E-CB-2016	0.888604919519	0.897680322841	0.884577012761	0.875376321377	0.867355184726	0.685969025647	0.896010887693	0.90289888526	0.775455338144	0.633965566982	0.689209536472	0.876321793272	0.718515361012	0.0	0.819493818585	0.718819134971	0.727011497737	0.661148232684	0.655593745959	0.749614837784	0.818871563087	0.680569998797	0.785736185123	0.882453175996	0.85280320259	0.71894035227	0.71592906705	0.69375938711	0.762610308434	0.685520340546	0.878481950075	0.695718093093	0.671144383563	0.637167440479	0.872614332103	0.882843226713	0.875180346813	0.617574167585	0.793569269454	0.88566293346	0.770794689877	0.849175308876	0.843140132668	0.718566249732	0.752951732933	0.856687347191	0.70709122907	0.849766049325	0.73485499895	0.880993858658	0.869394688921	0.552819387196	0.878058492987	0.868284941506	0.796207823182	0.768169029755	0.637265830114	0.734461571894
E-SOG-2527	0.632083183307	0.625078664707	0.62390848431	0.773605981248	0.739765614122	0.755579434881	0.598452581055	0.789456245628	0.707308436626	0.798952576595	0.704044424965	0.745092623588	0.694795017028	0.819493818585	0.0	0.719896290457	0.691406110689	0.810015851491	0.830309944589	0.679379705393	0.559452643363	0.74988350229	0.579620763901	0.687051759665	0.630379285802	0.790934185135	0.810342962543	0.730344879919	0.567649368804	0.786450429091	0.645225753754	0.812676980286	0.811381958189	0.803945329306	0.611444144293	0.723655669162	0.606856768015	0.765558968821	0.635027873118	0.630917860491	0.592283656634	0.616818831158	0.633261559754	0.693926064494	0.715669804169	0.649209090611	0.773746206739	0.700064052421	0.807120282713	0.629485851132	0.639357117555	0.828901550041	0.727248149238	0.589382991238	0.594593178188	0.620648348665	0.827500474669	0.68094107508
E-LH-2016	0.793112188595	0.814271107755	0.810046251257	0.813042544099	0.80346400499	0.58221246067	0.812903102058	0.829122318822	0.669917489456	0.697674292473	0.691907617805	0.801850544641	0.648874164946	0.718819134971	0.719896290457	0.0	0.59350404785	0.676657248835	0.717392951213	0.671624368442	0.724258354653	0.559292698834	0.665338741016	0.78671958726	0.779618694811	0.679919844433	0.666561904365	0.630641539066	0.680969923904	0.627376950707	0.796791211063	0.621135744753	0.706912254029	0.689376090547	0.793908763248	0.814427690139	0.791668201105	0.597951183413	0.680455137011	0.801396302223	0.667568893413	0.781320520614	0.736846847486	0.5727501419	0.676382648458	0.758638652447	0.656362271435	0.801133725156	0.634624412879	0.787999636336	0.783777928296	0.72939164495	0.799956001706	0.775445825965	0.686921575213	0.652616623598	0.744914626418	0.652652735141
E-BP-2016	0.76226308002	0.7858701165	0.771752464094	0.802864787063	0.794182431364	0.614041188898	0.776795535121	0.821327415404	0.703555667083	0.701736280637	0.682314917706	0.798305708792	0.687906160211	0.727011497737	0.691406110689	0.59350404785	0.0	0.698991716453	0.737138817543	0.661197369805	0.704066044869	0.575226581675	0.646445924753	0.762591776431	0.753761529214	0.691170279925	0.670674709945	0.632776919029	0.668741954907	0.660794777894	0.742079235425	0.652336849899	0.716882493504	0.708900411832	0.770537225279	0.808216062219	0.757786985716	0.623389959718	0.63588602221	0.754014755042	0.638450397084	0.723767957245	0.714892443265	0.538009713907	0.656194024462	0.738420963492	0.661919490924	0.778513606255	0.682407305768	0.749330160704	0.754013302184	0.748218450858	0.80880028585	0.742884878044	0.65957773681	0.648004234928	0.732376721537	0.666540058174
E-PM-Aug-2013	0.877253831833	0.891429779097	0.873326451203	0.89125163184	0.875750944443	0.64636353402	0.885305946241	0.891316198066	0.767042416725	0.671312774107	0.707021637556	0.871225724903	0.699801390159	0.661148232684	0.810015851491	0.676657248835	0.698991716453	0.0	0.655817085166	0.739232942569	0.804037896127	0.626518695012	0.765012439243	0.878047439439	0.854083324178	0.700916393116	0.531909519705	0.725095410228	0.765693953312	0.579062680511	0.876304514194	0.657790961657	0.576282091291	0.643214590717	0.878715686114	0.881062861285	0.865182573387	0.685158395294	0.785617232232	0.887490262557	0.755479793286	0.855306235878	0.823173473312	0.678776131259	0.736810315573	0.846284767285	0.633893434917	0.873364530462	0.610127102882	0.864492493637	0.864751023739	0.631374108897	0.878705603181	0.851575081296	0.781464794659	0.752365595462	0.691610170398	0.724654073531
E-TI-2014	0.879865757999	0.887001498018	0.88084248005	0.883859655555	0.861230034413	0.730043158516	0.890294252746	0.889938318574	0.800677528989	0.739613595549	0.775201842929	0.880571808832	0.766826486332	0.655593745959	0.830309944589	0.717392951213	0.737138817543	0.655817085166	0.0	0.770532223472	0.817305310949	0.712549758673	0.795246054759	0.875753155833	0.857404939486	0.76254604802	0.701377714106	0.754426224808	0.764701533216	0.641026300461	0.877143923501	0.710668862563	0.709159792945	0.695004603869	0.874130922519	0.887044491584	0.872427694784	0.671454456539	0.814663723498	0.879000810175	0.77057605691	0.843206110767	0.843018487025	0.730352989453	0.784765934039	0.854486974382	0.700671126162	0.869001588248	0.717242027931	0.862180163696	0.864499564119	0.619415490954	0.869642597453	0.851270127722	0.795465035634	0.788213521137	0.752248137344	0.773096994412
