	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-SOG-1619	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-DS-623	0.0	0.13453443	0.10538462	0.32706367	0.27985584	0.45390912	0.13948579	0.20674618	0.31862767	0.41743877	0.42348103	0.31607032	0.4461672	0.5224049	0.16898543	0.39941611	0.39489569	0.43440975	0.45499599	0.39734333	0.12020266	0.4524847	0.11938377	0.1338266	0.14134789	0.44608863	0.45060181	0.38483542	0.25333175	0.42837718	0.09442807	0.44045641	0.46888899	0.51804601	0.11852769	0.22540022	0.11142507	0.4888426	0.18398804	0.09049109	0.20986372	0.15222734	0.14686744	0.33785674	0.38068364	0.09740982	0.3925589	0.29843507	0.43263173	0.15691787	0.14384224	0.47139535	0.21852908	0.11450517	0.1611822	0.21776703	0.52801468	0.3720847
E-JT-526	0.13453443	0.0	0.10017439	0.3723915	0.30362145	0.43533063	0.13637568	0.21449289	0.32886716	0.43966044	0.44981136	0.30198703	0.46941051	0.50443875	0.15385896	0.38116984	0.37945884	0.43148508	0.43986864	0.37899582	0.15715065	0.43449703	0.17722472	0.15937531	0.12904554	0.42616744	0.45926162	0.38155169	0.23206138	0.43401013	0.1672475	0.42082744	0.45159244	0.50103798	0.11598692	0.20275545	0.09202266	0.47345711	0.18549823	0.13278822	0.21243945	0.12377253	0.12953407	0.32463121	0.38189207	0.15087927	0.40411081	0.3186883	0.42349824	0.16886662	0.09198137	0.45624064	0.20587793	0.11601242	0.14632509	0.20095586	0.54939819	0.35538315
E-LS-526	0.10538462	0.10017439	0.0	0.33979573	0.2880939	0.44300894	0.11222039	0.19724386	0.32966323	0.44522075	0.45268193	0.29567952	0.47406856	0.50478364	0.11672313	0.38418237	0.38158981	0.44416021	0.43752275	0.38380351	0.1369227	0.4422722	0.14907601	0.16577944	0.12083811	0.44372037	0.47266071	0.37881594	0.22862203	0.44219068	0.12885437	0.42932443	0.45945395	0.50034555	0.08787641	0.178521	0.06784515	0.47225044	0.17917808	0.13563733	0.20982242	0.10757512	0.11625566	0.3293524	0.38921324	0.14515708	0.40739596	0.31032115	0.43463121	0.18660861	0.103366	0.45769633	0.17993762	0.08336349	0.13531454	0.21116557	0.55227674	0.35854412
E-CR-2016	0.32706367	0.3723915	0.33979573	0.0	0.25038151	0.57203213	0.28830648	0.29002053	0.46876664	0.54097954	0.50686036	0.43994595	0.52623053	0.62626475	0.33923884	0.51305434	0.52080178	0.54384282	0.51869166	0.52755374	0.29900955	0.57269137	0.33332488	0.33654473	0.3166794	0.57541374	0.55305302	0.53168671	0.40834286	0.53484513	0.2801755	0.55201508	0.58024172	0.60604324	0.31058798	0.38925387	0.34350902	0.60409361	0.35098325	0.34259938	0.35545439	0.32026991	0.31787537	0.46572247	0.47215535	0.30036043	0.47555551	0.2461734	0.5472697	0.38789716	0.37408173	0.5609709	0.36459583	0.31773166	0.31549567	0.38549274	0.57760925	0.50795643
E-TL-2016	0.27985584	0.30362145	0.2880939	0.25038151	0.0	0.52400762	0.29116315	0.29716894	0.38843297	0.44064583	0.38142909	0.32019514	0.42440346	0.58517776	0.28519699	0.47485491	0.47364243	0.50337235	0.51875815	0.48144347	0.27796084	0.52308946	0.28856129	0.31259302	0.30046825	0.52031613	0.50092533	0.4561377	0.36548307	0.48191804	0.26769159	0.51566133	0.54137397	0.56997521	0.26087327	0.3386125	0.28716199	0.55162356	0.34239922	0.25782353	0.3229188	0.32065498	0.31293492	0.42791366	0.46105336	0.27833314	0.47911856	0.18591945	0.49527691	0.29325545	0.30707648	0.54648361	0.34392498	0.27043163	0.31037322	0.34487981	0.46005006	0.46548594
E-VP-2016	0.45390912	0.43533063	0.44300894	0.57203213	0.52400762	0.0	0.45586147	0.4574997	0.25006099	0.34694053	0.44033519	0.46124764	0.32386958	0.22454128	0.40210207	0.11743567	0.13219961	0.25288189	0.26614967	0.21276721	0.4408137	0.07789876	0.39887035	0.4476908	0.43709041	0.20373411	0.27472327	0.19229152	0.28639057	0.23353348	0.46122501	0.10019651	0.21108063	0.20265263	0.44905313	0.4286908	0.43806997	0.15197924	0.36091686	0.45692241	0.32383206	0.4532998	0.44264226	0.17909444	0.29848992	0.4672797	0.23538528	0.52721425	0.13980661	0.46941519	0.43904366	0.23431305	0.42629048	0.43692223	0.41351376	0.30807603	0.52482768	0.21762046
E-DS-428	0.13948579	0.13637568	0.11222039	0.28830648	0.29116315	0.45586147	0.0	0.15289185	0.34243132	0.45787504	0.46336546	0.31890869	0.47841789	0.51832055	0.14918064	0.39421552	0.39551318	0.43585156	0.42808814	0.3920296	0.12141499	0.45503921	0.15723946	0.15895617	0.08050272	0.4545943	0.46211202	0.41843541	0.24168428	0.42766083	0.13258642	0.43839884	0.46734574	0.50795762	0.10964844	0.21075141	0.12179936	0.48817373	0.15098317	0.16997	0.20187347	0.08253679	0.08631665	0.33966627	0.36338781	0.13920037	0.38146703	0.32164958	0.44195266	0.21384628	0.13223699	0.45559034	0.19627553	0.10510338	0.08980015	0.20260386	0.55378861	0.36948283
E-TL-Aug-2014	0.20674618	0.21449289	0.19724386	0.29002053	0.29716894	0.4574997	0.15289185	0.0	0.33841877	0.44812439	0.45421581	0.32624264	0.47644848	0.51954938	0.21499159	0.39970543	0.40105923	0.43352163	0.42061095	0.40022515	0.1968196	0.45558632	0.21230697	0.20717802	0.16862571	0.44844385	0.45052763	0.40256928	0.27292907	0.42046022	0.18845655	0.44032431	0.47010883	0.50131533	0.19813895	0.21402908	0.21350411	0.4916948	0.19734586	0.23844499	0.23143272	0.17115314	0.17016816	0.34426766	0.3616881	0.21218616	0.37515108	0.35578767	0.43454297	0.28747769	0.22019832	0.45780135	0.19434326	0.19998859	0.16952628	0.24032359	0.54944944	0.37718868
E-SOG-3619	0.31862767	0.32886716	0.32966323	0.46876664	0.38843297	0.25006099	0.34243132	0.33841877	0.0	0.30066524	0.35810992	0.37459219	0.28015215	0.32936905	0.31879508	0.2196658	0.23767714	0.29624922	0.33898456	0.24793114	0.31677291	0.24764383	0.28052632	0.33276615	0.32582588	0.2640475	0.33039576	0.19803523	0.27784796	0.24948067	0.33176614	0.25688352	0.32874966	0.3232441	0.33896336	0.36246629	0.32787164	0.29061549	0.28946817	0.33059476	0.25499393	0.35762285	0.33676189	0.19477587	0.28960399	0.34629841	0.27401871	0.4210075	0.23528426	0.3531867	0.34919267	0.35550634	0.35996127	0.32464172	0.31102401	0.24382748	0.47594311	0.24862259
E-SOG-6527	0.41743877	0.43966044	0.44522075	0.54097954	0.44064583	0.34694053	0.45787504	0.44812439	0.30066524	0.0	0.21209254	0.36697857	0.17457771	0.40559973	0.44355698	0.3482679	0.36113844	0.347903	0.37263706	0.32217176	0.42156857	0.35593349	0.38335214	0.42749911	0.44568762	0.30623182	0.36076776	0.32412567	0.3811939	0.33179937	0.4336908	0.33742606	0.39599844	0.40622848	0.45221914	0.47583987	0.4407578	0.39374003	0.38071471	0.416648	0.36451429	0.46488863	0.44968491	0.33898839	0.32469335	0.43361807	0.36961649	0.49559768	0.3500997	0.43495568	0.44868777	0.37871672	0.45808693	0.44233616	0.42818493	0.34164744	0.30355321	0.30260065
