	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-SOG-1619	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-JT-526	0.0	0.77914943285	0.589233687725	0.760270266502	0.756804375245	0.81593126658	0.620307021392	0.779072525581	0.57890994299	0.767614741919	0.757654930257	0.804969489619	0.816564536063	0.856548313346	0.817081230315	0.809247844711	0.876789590268	0.836149567148	0.621808037833	0.820509095901	0.812450312282	0.57080159435	0.640631636755	0.792687755128	0.80431773125	0.799124011408	0.828685499797	0.804968436718	0.669872482191	0.618766533836	0.801977475891	0.835390525968	0.785101364579	0.649916307021	0.661675826696	0.537886351005	0.819232698548	0.844965087045	0.516093500514	0.828862483068	0.590829400036	0.640727527775	0.806747631047	0.789926506865	0.687840179396	0.801629786012	0.817019692024	0.787237321668	0.820079060759	0.569402528166	0.825829705646	0.549502157536	0.852145303153	0.782031695929	0.800536706755	0.588511621286	0.701041717747	0.769457298458	0.811369630042	0.79190978684
E-SOG-4619	0.77914943285	0.0	0.79217574461	0.778782466561	0.772258975468	0.622029491271	0.765387726198	0.804678638559	0.746857173295	0.631900636543	0.621054354105	0.803666561291	0.504322513802	0.762919546587	0.597849836543	0.654339456166	0.83191008861	0.634917166846	0.686995776335	0.651186388158	0.627577905359	0.754104131099	0.741253779506	0.588625750162	0.573009749733	0.628933447851	0.647090457357	0.587506584431	0.727432309799	0.740144061735	0.642517924859	0.681503700722	0.806767533194	0.762669646049	0.693294045894	0.795209910678	0.640442126972	0.730105885578	0.790728708649	0.646797255463	0.721643857324	0.746929113726	0.657530806523	0.622401994239	0.653380027406	0.640086290212	0.657533239293	0.77321357002	0.689582101164	0.736935086977	0.433555734619	0.728261978108	0.790647312251	0.595565599803	0.803935853912	0.75046268452	0.677829422366	0.596005408164	0.60930708138	0.588281868317
E-LS-526	0.589233687725	0.79217574461	0.0	0.765473078213	0.763889916624	0.818131686374	0.578913713227	0.796114997814	0.597548727136	0.773413000089	0.763042949507	0.791683772978	0.823933164493	0.857428783855	0.81427325824	0.814917929683	0.865750829421	0.837980645381	0.667762601587	0.82425373397	0.81115013465	0.630978715496	0.606771840115	0.801013651632	0.813453286866	0.814824121537	0.82832455853	0.815554300268	0.676751570937	0.533078843071	0.805006064195	0.827270598265	0.784923751941	0.689735935505	0.605150501101	0.570262481828	0.820923450115	0.835437250449	0.58905016247	0.829525120462	0.651077017075	0.688160133719	0.806085018587	0.798831579362	0.709685351505	0.806197703998	0.821521897022	0.795018660573	0.813667382131	0.582135188377	0.834440749791	0.609043478495	0.850129832822	0.781977194529	0.80595912344	0.59365800162	0.731859806996	0.778638048771	0.821709277962	0.788418371027
E-CR-2016	0.760270266502	0.778782466561	0.765473078213	0.0	0.726301966883	0.781415098632	0.767639875004	0.731464164859	0.773638426017	0.803012484555	0.795793572052	0.765433392659	0.817023184478	0.798287598689	0.774397192286	0.791656889885	0.840563185871	0.785602711324	0.787313129191	0.808486725805	0.786345847974	0.766393046114	0.791517211735	0.807378885556	0.795017734573	0.784298905035	0.789125539764	0.817112250959	0.781850164173	0.785956691314	0.814468983294	0.824887131913	0.752302287463	0.719572230562	0.79016255851	0.760853808023	0.775353288221	0.800609791496	0.76444539289	0.78163754766	0.767214273023	0.778915580044	0.792732703395	0.792396594415	0.778648724245	0.820296831257	0.778400185723	0.748176859621	0.819410571715	0.765960656612	0.813181589094	0.761364599911	0.815596324601	0.813338848636	0.749351048927	0.767144264196	0.790623502035	0.788335660599	0.827512892878	0.805244100498
E-TL-2016	0.756804375245	0.772258975468	0.763889916624	0.726301966883	0.0	0.803525807604	0.70569131019	0.471865357146	0.755312126482	0.811850855411	0.79656520582	0.494479962073	0.830000466965	0.839299142565	0.792996462719	0.803712200054	0.82538957456	0.779743006794	0.80440575737	0.79898270275	0.788861484386	0.766435239588	0.757926317036	0.814029931618	0.785780284693	0.793050307915	0.799864087469	0.825148947048	0.793276665592	0.729929792687	0.814715797191	0.778232771413	0.435649694691	0.697673977906	0.696768837455	0.773285634884	0.806374003501	0.788635645157	0.774196539962	0.783125462659	0.752915608644	0.754170262677	0.785207854266	0.805615119566	0.787856265503	0.826721209021	0.821126955386	0.5875466405	0.76776421869	0.737488541326	0.798648383392	0.736533527805	0.794423532254	0.815820238668	0.474557506556	0.782332814224	0.805162531723	0.793474554522	0.826984309604	0.819405498554
E-VP-2016	0.81593126658	0.622029491271	0.818131686374	0.781415098632	0.803525807604	0.0	0.809501010392	0.825887303494	0.809813349642	0.653454334105	0.681032916905	0.83187999181	0.619414821876	0.678290547678	0.352327811099	0.328442670088	0.78386507053	0.598891267924	0.725991031028	0.559042717117	0.356800348762	0.808835795912	0.784176270819	0.533816487062	0.553971186429	0.414499811223	0.517387622364	0.669920370909	0.719653530883	0.78662665979	0.399861869747	0.564165947881	0.805959394266	0.796297435899	0.750102076708	0.826304903853	0.48831155728	0.62034760341	0.830918638249	0.524579419099	0.786284957439	0.781340483638	0.439085977956	0.654190818158	0.735088113875	0.679510918907	0.670019752029	0.800948278165	0.548232181436	0.792825097512	0.629025378264	0.783226504401	0.707274090295	0.595764614317	0.810215935233	0.766300833327	0.719191042763	0.620840614907	0.628874273901	0.639506897848
E-DS-428	0.620307021392	0.765387726198	0.578913713227	0.767639875004	0.70569131019	0.809501010392	0.0	0.75275493365	0.630800705529	0.738491093141	0.730130996669	0.764702550046	0.818532992507	0.852801596094	0.795968746426	0.806380762168	0.850747107999	0.817066505546	0.686762838728	0.805248475488	0.797525741791	0.648363566643	0.542439371747	0.763136819662	0.783969022639	0.803888500703	0.807771152255	0.793352689906	0.702939472645	0.597348139255	0.796928147254	0.808702872312	0.743565786367	0.660920233104	0.627054850446	0.612147796683	0.80583178156	0.836724392957	0.628137773794	0.807247133995	0.57590758451	0.641544619246	0.797424043038	0.775676007431	0.719302845755	0.79588715484	0.818702322743	0.715735988698	0.790925137616	0.61181616199	0.817428219399	0.561972500397	0.829714629354	0.782597401258	0.767682737782	0.618090932053	0.693286411174	0.759154642346	0.816855570516	0.776347797146
E-TL-Aug-2014	0.779072525581	0.804678638559	0.796114997814	0.731464164859	0.471865357146	0.825887303494	0.75275493365	0.0	0.787745666419	0.829472656599	0.826490876279	0.464335664412	0.839218336887	0.833570619367	0.812943924121	0.830201552771	0.821954413138	0.784747197638	0.80993253557	0.826036028073	0.816299445327	0.78310068913	0.790912576835	0.827489313023	0.80672756085	0.821912525107	0.819259678113	0.841401426101	0.814547479994	0.752933640788	0.842517454609	0.802710162199	0.48315583065	0.725445661057	0.720704160905	0.789627718258	0.822810261714	0.794108453287	0.791784510879	0.802787340698	0.769893609335	0.775226187479	0.822561135345	0.833198334955	0.812465574964	0.849426584579	0.821314700112	0.612599093726	0.786828946846	0.767337038507	0.823832916496	0.756447800467	0.79225990251	0.833798095878	0.49327079532	0.809036587879	0.821990227906	0.816513189758	0.843599679762	0.848457563545
E-WP-623	0.57890994299	0.746857173295	0.597548727136	0.773638426017	0.755312126482	0.809813349642	0.630800705529	0.787745666419	0.0	0.753606264702	0.738822680903	0.782120836548	0.78653663013	0.859171765187	0.811423554175	0.806026756595	0.87721320085	0.824078703123	0.601699994783	0.817093103394	0.809185027079	0.51930129775	0.65988670726	0.786826422458	0.786694419309	0.802055069997	0.820884031782	0.78509062108	0.65358031548	0.579521608538	0.79971709627	0.823548344942	0.769352882091	0.624629054575	0.610482313738	0.567214857785	0.818733008787	0.842089056063	0.554260664247	0.816476210043	0.63862300888	0.66579771163	0.809245429042	0.782000677769	0.657670085384	0.789067696524	0.788770153704	0.7849448093	0.809755016021	0.458598208916	0.790447172553	0.625060303611	0.847937584247	0.766488266284	0.792753874852	0.620630422099	0.709551733942	0.766056302827	0.791747322544	0.777469539677
E-SOG-6527	0.767614741919	0.631900636543	0.773413000089	0.803012484555	0.811850855411	0.653454334105	0.738491093141	0.829472656599	0.753606264702	0.0	0.57584536163	0.82835571923	0.554220581864	0.75700341897	0.679824376348	0.646687842325	0.854740340942	0.715077082288	0.670010738863	0.693850671504	0.670027712006	0.752511268635	0.725412749717	0.577875606486	0.657144001224	0.67067489329	0.705326560888	0.57751755364	0.679829709523	0.754285095039	0.6573119929	0.744090393918	0.816318914994	0.778312572276	0.731379670412	0.770266646472	0.670991399352	0.770511110387	0.784853604737	0.701334848274	0.726284681274	0.735621638452	0.70874864272	0.599219088978	0.627796848006	0.60506492454	0.582278679091	0.822447441365	0.732234188869	0.745052243211	0.668979747439	0.741036771751	0.811974099965	0.613390167606	0.838130463318	0.700271449996	0.648968599552	0.611067970661	0.545377864069	0.555235791046
