	WV7A	PM7C	TL7A	E-s-PM-3-Aug	WV7B	DU7C	DU7A	FR7A	FR7C	TC7B	PM7A	Tca7B	Tca7C	TL7B	TI7A	E-b-DU-1-Jul-a	TL7C	E-b-WV-3-Aug	FR7B	DU7B	TC7A	E-f-TL-3-Jul-a	TC7C	E-b-WV-2-Aug	E-b-DU-3-Jul-a	E-s-PM-2-Aug	Tca7A	E-b-WV-1-Aug	E-s-PM-2-Jul-a	E-b-DU-2-Jul-a	E-s-PM-1-Aug	E-f-TL-2-Jul-a	E-s-PM-3-Jul-a	E-f-TL-2-Aug	E-f-TL-3-Aug	E-f-TL-1-Aug	E-s-PM-1-Jul-a	E-f-TL-1-Jul-a	E-BP-2016-3	E-WC-2016-3	E-JP-2016-2	E-VP-2016-2	E-LH-2016-1	E-JP-2016-1	E-VP-2016-3	E-BP-2016-2	E-TB-2016-1	E-CB-2016-2	E-DU-2016-3	E-DU-2016-1	E-TB-2016-3	E-VP-2016-1	E-JP-2016-3	E-LH-2016-3	E-BL-2016-3	E-CB-2016-1	E-PM-2016-3	E-CB-2016-3	E-WC-2016-1	E-LH-2016-2	E-BL-2016-2	E-TL-2016-1	E-DU-2016-2	E-CR-2016-1	E-WC-2016-2	R.wp.5.26.r1	S.st.1.5.27.r1	R.mt.5.26.r1	R.jt.4.28.r1	S.st.4.4.24.r1	S.st.7.4.24.r1	S.st.3.4.24.r3	R.ls.4.28.r3	R.jt.4.28.r2	S.st.5.5.27.r2	R.ds.6.23.r.2	R.wp.5.26.r3	S.st.2.6.19.r2	S.st.5.4.24.r3	R.mt.6.23.r.3	S.st.1.4.24.r1	S.st.6.6.19.r2	S.st.4.5.27.r3	R.ls.6.23.r.2	S.st.4.4.24.r2	S.st.1.5.27.r2	R.ls.4.28.r1	R.Jt.6.23.r.3	S.st.1.6.19.r2	S.st.6.6.19.r1	S.st.5.4.24.r2	S.st.2.6.19.r3	R.mt.6.23.r.2	S.st.3.5.27.r2	S.st.6.5.27.r1	R.wp.4.28.r3	S.st.1.6.19.r3	S.st.3.4.24.r1	S.st.2.5.27.r2	S.st.4.5.27.r1	S.st.1.4.24.r2	S.st.6.4.24.r1	R.mt.4.28.r2	S.st.1.4.24.r3	S.st.6.4.24.r3	S.st.3.5.27.r1	R.ls.4.28.r2	S.st.5.6.19.r3	R.wp.4.28.r2	S.st.2.4.24.r3	R.jt.4.28.r3	R.ds.4.28.r3	R.wp.6.23.r.3	S.st.2.5.27.r3	R.Jt.6.23.r.1	S.st.2.6.19.r1	S.st.2.4.24.r1	S.st.2.4.24.r2	R.mt.5.26.r3	S.st.7.4.24.r2	R.wp.6.23.r.1	R.ls.6.23.r.1	R.J.5.26.r3	S.st.3.6.19.r1	R.mt.5.26.r2	R.ls.6.23.r.3	R.ls.5.26.r1	R.ds.4.28.r2	S.st.5.4.24.r1	S.st.4.4.24.r3	R.ds.4.28.r1	S.st.1.6.19.r1	S.st.3.5.27.r3	S.st.7.4.24.r3	R.ls.5.26.r3	R.ds.6.23.r.3	R.Jt.6.23.r.2	S.st.6.5.27.r2	S.st.2.5.27.r1	R.wp.4.28.r1	S.st.4.5.27.r2	R.J.5.26.r1	R.ls.5.26.r2	S.st.6.4.24.r2	S.st.1.5.27.r3	R.wp.6.23.r.2	S.st.6.6.19.r3	R.mt.6.23.r.1	R.J.5.26.r2	R.wp.5.26.r2
WV7A	0.0	0.631513305476	0.870308445006	0.625347078261	0.480683762443	0.552346570397	0.537237500023	0.861925383404	0.875348857416	0.59685421847	0.606978857119	0.866891119159	0.846348448668	0.863242258951	0.672433413627	0.57878324126	0.871126076479	0.572510581421	0.861750002915	0.559861181985	0.587396593517	0.86372666109	0.627596449682	0.551388334569	0.604190172899	0.597006756107	0.842359646027	0.573612755248	0.654553042555	0.567229134684	0.615712362736	0.869052757503	0.612660851362	0.864867447456	0.867491952269	0.856771854999	0.594856696363	0.856693691071	0.662326044131	0.739869649834	0.719299156055	0.601579530552	0.656965766873	0.632450291772	0.63178649116	0.659910787059	0.606328124281	0.665983412994	0.644032960136	0.70901668377	0.623943987198	0.655536095686	0.670745094149	0.609677704311	0.838239536746	0.68849592709	0.636539235288	0.623799581404	0.706984075761	0.594907197601	0.83482062163	0.859648839426	0.741019784709	0.876044681254	0.617596089837	0.876890926403	0.720681213862	0.874168026279	0.786948715967	0.737266980051	0.676391061598	0.770797403219	0.834906350062	0.810220297421	0.723712561302	0.845186454701	0.878007671836	0.736959456014	0.712593033925	0.873810554194	0.711580370528	0.740376314637	0.702103037619	0.866007862294	0.762246207469	0.725551393426	0.847857314524	0.809102446357	0.810839963167	0.717413259614	0.696463347334	0.734170837718	0.866586048614	0.863126788773	0.644420589672	0.8184861759	0.77914466742	0.781616837217	0.770870431686	0.691840327301	0.710560255252	0.704706763574	0.878315423001	0.71187983509	0.718681917934	0.825124790435	0.863543524425	0.729162207028	0.839781658845	0.744164954256	0.804024962056	0.846563345268	0.879216502912	0.778594803248	0.778254945553	0.722608572217	0.738616097423	0.751475589021	0.847526740889	0.694700822786	0.877095702839	0.855584820766	0.868578305513	0.754029005302	0.881492359915	0.851114695265	0.866532036425	0.869461996583	0.700451070791	0.747374628392	0.857184066017	0.771017830122	0.828860166401	0.704071525785	0.871575891515	0.879116755674	0.82324618251	0.665274840379	0.789549337567	0.809997833633	0.710153892791	0.85861342996	0.865996518571	0.662870293717	0.734279317606	0.857156475543	0.679903163388	0.858919827519	0.865471225084	0.78608809576
PM7C	0.631513305476	0.0	0.894414918617	0.670560794643	0.627244258307	0.665048512123	0.652546277906	0.905865874496	0.907900965745	0.594867103566	0.487461043924	0.90767798904	0.86571602231	0.890282553594	0.693926319532	0.696913886321	0.908604287716	0.657247523323	0.895526893667	0.662252915567	0.612508934954	0.910136694462	0.586392155516	0.66668808675	0.707385820854	0.651316133639	0.874778605466	0.670214189723	0.715271944631	0.695211463763	0.642497012966	0.909590451021	0.67132728336	0.901784414861	0.902156720432	0.88403680507	0.648920595969	0.896668969964	0.74398413465	0.769194565805	0.712907778467	0.656450875524	0.722860832872	0.711573368232	0.712428872757	0.688198900631	0.690202024747	0.630186858185	0.746597116691	0.763897278341	0.6547579288	0.680764393911	0.66854184476	0.666132973169	0.878485773723	0.64037843797	0.650099466509	0.597723160868	0.747221275871	0.656056723561	0.873399806528	0.914447420026	0.773265799397	0.89051252692	0.681037544103	0.90898857717	0.77453480051	0.90923278343	0.849917605318	0.793095335151	0.744326223505	0.80879573495	0.893793458286	0.867579144824	0.764891844834	0.892389795961	0.916896040198	0.799183018832	0.759086036163	0.90872450776	0.748174321925	0.780400176372	0.774173341106	0.901969498127	0.829192864782	0.747042409701	0.900433522242	0.873386857791	0.85828736954	0.77710162467	0.780202274844	0.792116688986	0.911092017041	0.897581117282	0.692257933526	0.878050510916	0.814345650903	0.841490553148	0.817343191796	0.764408719082	0.774713225491	0.755597593185	0.922276991614	0.771388841144	0.760550411079	0.862868066842	0.899240039162	0.739673124407	0.88284583662	0.797401422236	0.856768665042	0.896649995179	0.917787782606	0.831058779034	0.845419979191	0.782981713734	0.799102956259	0.803503835124	0.894197113149	0.766845684186	0.919612909518	0.893891595601	0.913281003027	0.774014462406	0.918346934464	0.897903527097	0.902806603837	0.907775534052	0.770873529635	0.798631747735	0.891717009628	0.79797019693	0.868540061375	0.768819310276	0.911955326269	0.913857162761	0.86772396205	0.722530811835	0.828260814799	0.869427717873	0.776874885941	0.904295951413	0.913011077589	0.729711529245	0.742711514414	0.901859768627	0.730406585713	0.899801357657	0.908373829802	0.78752539738
TL7A	0.870308445006	0.894414918617	0.0	0.878592090679	0.852275856476	0.835587098653	0.842735837456	0.704198094953	0.732627844014	0.887231204639	0.878903056463	0.53678506773	0.570164783864	0.575195891498	0.869767643107	0.863891661932	0.598787396894	0.889072274383	0.736555285066	0.84593017605	0.876696696168	0.661977319054	0.912858640519	0.86942702921	0.877667642598	0.879810633359	0.591761132566	0.890096267887	0.888482850011	0.863438786036	0.891261780438	0.663106123054	0.885141966467	0.628455388319	0.658001593082	0.648649304086	0.887905369648	0.672266747083	0.795375119024	0.772489417832	0.872931933574	0.810292439853	0.801434904574	0.887199591756	0.885284553001	0.836951794963	0.889185346014	0.881884948048	0.802733626289	0.824795961818	0.879732240523	0.854631936069	0.841006577914	0.868853807312	0.708332474857	0.879612525523	0.846569063191	0.886616536133	0.793747681896	0.847670264886	0.713129389576	0.689049407735	0.789395449077	0.764998432749	0.825179142246	0.739853405531	0.767923580938	0.717573555122	0.756002679169	0.77945081814	0.869189161366	0.775845055621	0.760374637594	0.755117265412	0.80607970119	0.732106203714	0.750149513402	0.762334872686	0.834285065204	0.757532646928	0.851054375363	0.870086102191	0.797137862209	0.719237815344	0.787651847004	0.776953475496	0.75654730665	0.760665284334	0.76507006374	0.863006636508	0.833916225703	0.776290123339	0.731803816298	0.750140897022	0.877370344202	0.769208160752	0.739954942585	0.770722749301	0.757553925523	0.792600816231	0.841576770004	0.831489537342	0.723512855321	0.842225508507	0.824863673261	0.755911060539	0.74628112424	0.815080275039	0.761097659129	0.787313210427	0.766420656743	0.723562508586	0.734971373439	0.748166343525	0.767703822966	0.765870886377	0.782212965436	0.818192404403	0.724342206817	0.8749810583	0.748416699249	0.734263124966	0.733110100611	0.805472577109	0.712622516761	0.718666774588	0.72373555349	0.737540448878	0.810276405222	0.79291119795	0.76066721035	0.77427952144	0.744274160729	0.85062800231	0.745539940783	0.730202066335	0.736894100753	0.861345062396	0.746401194501	0.766970149486	0.766854044127	0.75067348347	0.745328910083	0.830347811405	0.791191811668	0.740809590171	0.881625775207	0.755098903727	0.758258142244	0.83929339734
E-s-PM-3-Aug	0.625347078261	0.670560794643	0.878592090679	0.0	0.627680106979	0.652918466128	0.653298822727	0.876365745789	0.879488965774	0.567894818275	0.657856644326	0.888809307275	0.860833816162	0.880600534353	0.689206245575	0.66510270339	0.882787639042	0.616712569209	0.876101428493	0.654670547977	0.604151971153	0.869105809115	0.580393448693	0.575177540008	0.646268692344	0.50721234732	0.881807262066	0.600960230746	0.618287820523	0.654705806144	0.508847420037	0.872916283657	0.584957298726	0.885245266185	0.890276970481	0.873973554126	0.59264992044	0.869153451963	0.718695185706	0.749906010474	0.762304670205	0.661599495651	0.717965326939	0.648081162655	0.662563726802	0.725882361883	0.623344098547	0.614797879083	0.70885410818	0.732763326527	0.688434319191	0.721201304808	0.684901972252	0.685725678349	0.850840728491	0.634533199031	0.696148760742	0.660881910088	0.697443588183	0.643725427011	0.869537066028	0.869821115959	0.723218033649	0.882575795329	0.682255539163	0.891653670388	0.781507364613	0.887468252281	0.834831110394	0.779037765196	0.708025577135	0.788930490657	0.862161204997	0.82371218433	0.698346507748	0.869884935731	0.888347525665	0.779661653202	0.746940316695	0.888491839859	0.751842052717	0.686288682917	0.775017095744	0.881997012349	0.787698806369	0.766386279753	0.872840564149	0.859818165403	0.812892765166	0.68815669595	0.745297652771	0.784059397111	0.888277548616	0.873495163095	0.654742577369	0.845009253164	0.809157112638	0.805746830826	0.814668664145	0.767407437864	0.723012952074	0.727038232799	0.888435057074	0.725481572529	0.736756696507	0.850541905592	0.862440488659	0.71626286474	0.875787462648	0.770239000064	0.835150820275	0.866265601172	0.885556715496	0.821823804482	0.812568385184	0.788088646778	0.773282025355	0.770104868236	0.882767766956	0.704324574173	0.885052710243	0.870856132657	0.900141006733	0.760508466728	0.894415795398	0.875441199123	0.875356765104	0.871339982728	0.730674025547	0.786970855092	0.868165644389	0.790636142321	0.850711620889	0.733473109265	0.88595914207	0.88377189947	0.841566149338	0.653294927147	0.821031470437	0.836326826709	0.758168620123	0.89056611141	0.88521523595	0.721026583448	0.767716386471	0.881952197477	0.682843154451	0.878493723655	0.882338344645	0.784617296802
WV7B	0.480683762443	0.627244258307	0.852275856476	0.627680106979	0.0	0.523485963805	0.512675298074	0.846881572326	0.868505438775	0.575486896807	0.604690210859	0.858978843592	0.845337263094	0.854577980159	0.65792915356	0.609934201752	0.858869199618	0.614259502911	0.855728677139	0.507712360102	0.577783069582	0.8535859478	0.607220192838	0.572020701937	0.604862139046	0.632709987737	0.832137139242	0.607222358163	0.661721502716	0.559850408935	0.641178513171	0.85939075159	0.613303578605	0.868347770757	0.866760531592	0.850104369324	0.603726044171	0.856479489028	0.662452245233	0.718649144409	0.671276249691	0.616478233332	0.640298271739	0.648643856244	0.66772375401	0.604370434359	0.658796356172	0.65450777357	0.671655435848	0.696734672684	0.603861719896	0.692057484823	0.613862743762	0.568513415248	0.836980644411	0.666931667369	0.598194731201	0.651295303023	0.698335046645	0.59975791318	0.828696242718	0.857735831856	0.716019466154	0.857092315223	0.626397364991	0.864488449443	0.722870801876	0.863793903924	0.798577195291	0.760525357425	0.716325946043	0.773309403024	0.827842118137	0.798364366259	0.706046348776	0.834448250865	0.868200117094	0.746344349358	0.736467519653	0.856895653228	0.739763353735	0.727659246943	0.710787931119	0.853771668187	0.75529159801	0.733825103024	0.841003031309	0.818608149321	0.788725983521	0.701087564715	0.726268342633	0.746387420814	0.861282117366	0.845864890862	0.689615705637	0.801141535939	0.784465458497	0.792434298648	0.744401706727	0.721656587167	0.712247940385	0.733578154548	0.867264363932	0.727807731071	0.731854937719	0.820636527279	0.853724477877	0.722306981499	0.825553631102	0.755137621877	0.791850480262	0.840315699486	0.876531374452	0.769167678525	0.786889607337	0.727791130122	0.753602639725	0.767151916914	0.838968385553	0.714099851927	0.870146427132	0.840716008831	0.859091999814	0.739524535978	0.873654396429	0.842598381765	0.853130749096	0.860448525779	0.724126124784	0.7612642624	0.858577448937	0.767993176197	0.826435396929	0.713418964338	0.87184436252	0.867834839662	0.806290438118	0.650282072534	0.790007029154	0.798875597224	0.689668346365	0.859760731807	0.851193831667	0.68791503324	0.742965825532	0.84424286519	0.718928453599	0.840081449092	0.855916856335	0.774734388501
DU7C	0.552346570397	0.665048512123	0.835587098653	0.652918466128	0.523485963805	0.0	0.52801022	0.832704235546	0.851914661076	0.658129282818	0.651222617507	0.849715209139	0.833960414393	0.841918598904	0.695519060816	0.601741292608	0.861059639657	0.672974169479	0.838270825289	0.514867488871	0.656182167981	0.855530631032	0.650404694362	0.618647316273	0.609730710422	0.657102346913	0.822938088977	0.65999240824	0.689690947374	0.61437011548	0.683455636158	0.846690955413	0.629710161747	0.859938823273	0.847947707001	0.838534427997	0.644458863297	0.835817059791	0.680438975128	0.729179216551	0.704503463645	0.627621568425	0.68471068338	0.698896939177	0.702037275703	0.674097630299	0.685449778779	0.689791830109	0.692974263327	0.72162696206	0.666030170366	0.724253079215	0.656568415778	0.641756801194	0.818868093246	0.708781661399	0.660807332569	0.688286964224	0.690232460326	0.661694887926	0.829555381816	0.849310625535	0.711136104555	0.851323750915	0.683069722494	0.846607957702	0.746143736928	0.839595406723	0.811965710161	0.766919289685	0.716321704586	0.767234141523	0.820917542	0.795766937847	0.733945419997	0.82417755381	0.854348142274	0.743269890654	0.748732099387	0.837185837249	0.735655156224	0.746577373707	0.742392313542	0.834273708098	0.781910831013	0.729259948382	0.821218280929	0.816911843913	0.783727826931	0.733605930421	0.752495376253	0.734582695567	0.853486560782	0.829699637116	0.705537620046	0.800393576311	0.777713301869	0.785467945594	0.764288290621	0.734924149167	0.729863408007	0.745309040485	0.856472121104	0.745460321086	0.724526711365	0.811618507081	0.837916390972	0.71794550297	0.84581157219	0.771929283551	0.804283602574	0.825910031019	0.853517986208	0.800950864273	0.781770810983	0.737948241204	0.771250951352	0.786358972945	0.836471911234	0.735776745362	0.856293338565	0.830662052421	0.862293410844	0.731212214032	0.863669128308	0.837334668497	0.82365379505	0.836422357436	0.74590762788	0.758019781717	0.837855126621	0.762084753719	0.809388196045	0.747436271481	0.849454811519	0.840110285786	0.807104864861	0.718162995496	0.786072056941	0.804883209952	0.719251793707	0.851831264045	0.839394810445	0.708811454063	0.738239664949	0.83699741858	0.739105182391	0.836583803611	0.855541061909	0.794721334499
DU7A	0.537237500023	0.652546277906	0.842735837456	0.653298822727	0.512675298074	0.52801022	0.0	0.819460965493	0.834388372883	0.628213948849	0.635607968282	0.853593457339	0.838932060408	0.8556	0.679019228462	0.585298002121	0.85344294069	0.656379553055	0.821804655608	0.489133673367	0.62636703633	0.860215170861	0.674608665593	0.616282207662	0.607524941155	0.644422340325	0.836408946954	0.647773337921	0.696560019601	0.612030583165	0.681410363778	0.859589199614	0.649477104586	0.860425243164	0.8511545205	0.839415942038	0.642868838581	0.852064820282	0.654782336148	0.706567723876	0.706476438332	0.624453486775	0.650129569655	0.689907734174	0.688113386804	0.636757023682	0.677444820071	0.676973709031	0.663737288592	0.68385556114	0.652903497904	0.67759470807	0.611020279131	0.60242828283	0.817079200332	0.700625896218	0.613135701305	0.673905209977	0.690845101589	0.613543228957	0.830538323344	0.855220982701	0.694666728169	0.846187456669	0.616578687981	0.839488022929	0.715966153525	0.839189836508	0.801517318246	0.753990020889	0.695139472304	0.761238751411	0.811326628411	0.782779454172	0.719054505564	0.813300615874	0.846827516494	0.712180492969	0.728175407128	0.833964394502	0.727809156374	0.747141201529	0.708778695774	0.835751034764	0.751902211145	0.711263563861	0.822750154952	0.797314134913	0.77701914231	0.72193145961	0.715300784218	0.729355648306	0.828882335621	0.827680339396	0.710195480327	0.774137046693	0.751006474686	0.773242471278	0.73577814149	0.716250941435	0.703281148754	0.725895046865	0.85000943504	0.719414942209	0.741702108736	0.798151908167	0.823803426265	0.711147291332	0.824091171824	0.745674056428	0.786451153446	0.801063115596	0.849762234575	0.741117741297	0.763372708552	0.706554710594	0.742405710311	0.751862718277	0.824167246446	0.728502596948	0.845504806331	0.808592915966	0.84791058295	0.707257853557	0.849566630428	0.809882202905	0.816826951079	0.82976830322	0.713805265937	0.754100834498	0.825374176445	0.738139869785	0.80712316894	0.734606152013	0.845171696214	0.839194749499	0.798250611204	0.695937559271	0.753771686077	0.78030579948	0.69513564815	0.831519006036	0.827855246238	0.706492435569	0.723940386938	0.82282700717	0.720896939707	0.820375856412	0.84572818096	0.773556474896
FR7A	0.861925383404	0.905865874496	0.704198094953	0.876365745789	0.846881572326	0.832704235546	0.819460965493	0.0	0.613232258675	0.890568574075	0.895143447826	0.710326301222	0.735723951586	0.762298676671	0.872035825123	0.842027133406	0.712454308395	0.880147953485	0.603963834501	0.820059445241	0.880192117293	0.768155880571	0.915676720081	0.8685326218	0.856648528422	0.880904372263	0.737297717905	0.8794856512	0.890641056322	0.849758306131	0.898236191015	0.743939321979	0.895395292513	0.732588844628	0.715824767054	0.716196918917	0.892552909248	0.756067634051	0.733670488395	0.741757124697	0.874930028063	0.790828755046	0.749572920883	0.870792577942	0.870525733049	0.827752540586	0.87767504725	0.89537653909	0.745463357833	0.774456359152	0.867160480672	0.847250636063	0.810288963483	0.861046188956	0.726539970969	0.890806987198	0.844929603926	0.887974830169	0.751990015131	0.826895251101	0.744612017533	0.741433549313	0.762217508021	0.766400432545	0.779731800966	0.645580772288	0.703306384497	0.622817638355	0.641268030137	0.732649780011	0.862366501654	0.681179020921	0.660753037062	0.676488412127	0.807780079582	0.616252688771	0.66004172898	0.668367675832	0.79848532637	0.672500810089	0.827153266887	0.875628718198	0.721892109354	0.650924619797	0.702352040767	0.693548337581	0.664252138675	0.639747775889	0.658883239898	0.865026585101	0.791214018803	0.658293856001	0.606577173892	0.663930983656	0.884567803903	0.660644433815	0.632684053133	0.684590837622	0.684414282758	0.692153994687	0.805822171676	0.797687406376	0.599524140661	0.809406390039	0.811899008899	0.70031007702	0.676576407277	0.811818731994	0.674349501393	0.739753030389	0.663484826281	0.637251732899	0.643740720585	0.706901008012	0.610174273742	0.668715934958	0.732714741039	0.735810949247	0.59155831507	0.866495371014	0.617243575648	0.612065622561	0.648202179662	0.759676908814	0.624380522983	0.630208572757	0.640816365754	0.641468505342	0.765434020841	0.71415072643	0.67534377109	0.664758574924	0.647114747086	0.825653736797	0.668339002881	0.626475670276	0.626904622197	0.862671668094	0.667108033139	0.65863640445	0.705229186664	0.638799414	0.620983368958	0.814224282913	0.732880750973	0.630966658468	0.876278220777	0.619639101394	0.630134258983	0.815923617186
FR7C	0.875348857416	0.907900965745	0.732627844014	0.879488965774	0.868505438775	0.851914661076	0.834388372883	0.613232258675	0.0	0.898012188718	0.89591572509	0.744269421362	0.766620503056	0.767722781019	0.888376087213	0.859344825277	0.74114553447	0.898803359474	0.630263617843	0.844375183066	0.897442024593	0.789034247603	0.918285776126	0.882494952419	0.870361045115	0.882837067526	0.747568156561	0.892598003007	0.908277015119	0.868696057737	0.902742414765	0.784362642671	0.904193165009	0.761094659383	0.766753874517	0.738698075081	0.896774451905	0.793541605896	0.752146924403	0.778704538605	0.885832747468	0.812615183816	0.786625279848	0.894542238366	0.890682213901	0.841413025287	0.888319883763	0.895210662795	0.76585807457	0.795109688988	0.883874087723	0.855674741263	0.820881940404	0.864719833411	0.774350134911	0.892765671499	0.87099510982	0.898201742186	0.770325746562	0.847338428263	0.783250293348	0.769738896068	0.770101871606	0.795632165602	0.795226234178	0.635501199491	0.723607653795	0.649820588751	0.714084119783	0.755142689422	0.875352707074	0.708538265262	0.682871723151	0.697232259169	0.808971960345	0.661672183587	0.668951528276	0.68333501778	0.817698473342	0.674625456642	0.831299685482	0.887886287123	0.759046506684	0.658687130027	0.695325507777	0.716496350219	0.671592225065	0.652283168876	0.672324402671	0.872469338788	0.813523677879	0.696657324855	0.623676104342	0.678795979014	0.896267402186	0.692307977513	0.670380746507	0.709650520314	0.711415161149	0.743485037795	0.818410978425	0.801110835473	0.65515607862	0.808021789438	0.82853467112	0.689236733358	0.68622332443	0.82030134915	0.728216329569	0.766770543485	0.671597863475	0.667734716699	0.652101651103	0.720669419443	0.659115023382	0.655495007264	0.726319621651	0.749801354908	0.646978841328	0.876018657554	0.649705678929	0.633600502124	0.670561250418	0.750930409629	0.640692030901	0.671002257157	0.662521748072	0.682269259732	0.77628052376	0.729835867554	0.683627149217	0.6950887983	0.668282642946	0.857146375347	0.660724391086	0.662667721687	0.665226847075	0.887152147068	0.684290680377	0.713406298436	0.743733540985	0.662562571832	0.646026284335	0.825593796214	0.722131630435	0.658132683563	0.891374739558	0.64279683233	0.659093328837	0.834667983318
TC7B	0.59685421847	0.594867103566	0.887231204639	0.567894818275	0.575486896807	0.658129282818	0.628213948849	0.890568574075	0.898012188718	0.0	0.59988976081	0.894878578965	0.866495834824	0.872703126809	0.598758635377	0.669438981352	0.897995035462	0.65475036298	0.886551587623	0.636806391241	0.468368155771	0.874307243454	0.454195273663	0.630631568946	0.681504795044	0.617570551569	0.871638220729	0.665854469032	0.652713408485	0.674983423055	0.633744709268	0.883699854299	0.605494726625	0.890943838212	0.895226584874	0.880125280211	0.583501646119	0.872167745966	0.718431327829	0.73619834073	0.709819890136	0.642521947297	0.721251978137	0.693390528048	0.681332384631	0.677518387877	0.653816967336	0.571020988599	0.717459395018	0.731470079766	0.624957869457	0.682623755974	0.655038757899	0.617245672201	0.863373793014	0.588229786819	0.606213031726	0.562364123294	0.722154831746	0.654914675346	0.859161084052	0.887785078294	0.752269617442	0.876184268078	0.669339827863	0.900034907833	0.764930050321	0.899638575631	0.837681298104	0.79052227737	0.728491807751	0.810235503174	0.867691841592	0.831770339035	0.739283002316	0.86657590918	0.899509962385	0.786195975223	0.754871358618	0.897094165682	0.744891076952	0.726586670764	0.766002034343	0.883375570252	0.782406701265	0.754437674718	0.88197053752	0.850645514292	0.832742103853	0.726521489811	0.761414583303	0.783229567124	0.891789798697	0.88800054593	0.676907984592	0.845193582932	0.81852715432	0.829286809912	0.797412119504	0.752517384304	0.74708687833	0.751325445931	0.897363443673	0.761777646073	0.756776347271	0.855770555564	0.884266476278	0.74571386281	0.865068797159	0.779465772053	0.842249947826	0.865846184241	0.902494333279	0.810996719451	0.825737523938	0.783208482724	0.785999251134	0.788190781537	0.877005752856	0.727978049171	0.898058797472	0.877901836906	0.894777540335	0.783485107007	0.904203076991	0.870366797047	0.887480554002	0.893150406429	0.746602549409	0.789642726156	0.88486998769	0.789275504121	0.853205421577	0.730960898574	0.898320412287	0.90302710099	0.84842691352	0.669651080761	0.816395685805	0.830732455941	0.754755747677	0.883791880701	0.88972092438	0.713414146958	0.743717472858	0.880589001877	0.710006363141	0.879966984569	0.885420895244	0.767101002121
