	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.17269189555	0.202861584436	0.914906817477	0.935587996418	0.940386120532	0.999777228274	0.99996940399	0.999966829204	0.892451315845	0.885632653061	0.876372344096	0.969234865181	0.986470027537	0.998913356132	0.998406853143	0.997042860492	0.842637113175	0.848033086467	0.860745961356	0.854517737217	0.874523214521	0.850005660164	0.837466342804	0.820068205193	0.868167072182	0.987941542696	0.940427065501	0.942917619747	0.868422055405	0.846588447993	0.870856932545	0.999565972222	0.999476431224	0.999210591234	0.910344028727	0.873134328358	0.887969192635	0.828225404289	0.832622428595	0.863472142993	0.803810675941	0.826330628524	0.828531170403	0.613916033297	0.671599425929	0.729025534132	0.999109962676	0.999650914169	0.998869938887	0.999461931665	0.999198696546	0.99953301835	0.685636363636	0.837506387328	0.698912497909	0.807346152053	0.804886607887	0.78401078682	0.997750385208	0.998719921976	0.997460523294	0.71245803033	0.669341417023	0.998464098298	0.999093559372	0.998278590666	0.997572893048	0.998455416514	0.997830724177	0.994149798586	0.993519083452	0.994034383643	0.992126092642	0.998450855427	0.997976426685	0.997809374225	0.998610339077	0.998657386143	0.998857458767	0.990001149293	0.993876769996	0.994502473887	0.986333063249	0.987007261411	0.985885471708	0.99852388311	0.997852201493	0.998030414546	0.999368175805	0.99462826301	0.99966389379	0.998382176204	0.998486195545	0.997973266419	0.994943467972	0.994160351968	0.994688757209	0.998987341772	0.997382853278	0.997819536349	0.995007375468	0.982792191582	0.872416087365	0.8695018226	0.841519664801	0.847320714184	0.914246372544	0.92596800371	0.929539635262	0.931207110508	0.849371423798	0.819362000648	0.92139044072	0.940747720533	0.949291393978	0.893056959412	0.895110959469	0.899105658884	0.94976212561	0.942178225914	0.979086366013	0.978801826417	0.980342847563	0.924257086627	0.910182046453	0.947093566008	0.856267810934	0.868390769258	0.874280238841	0.84044878615	0.848253748158	0.825889844804	0.933502698526	0.927668233128	0.923482814358	0.924488268781	0.939010914757	0.935600586617	0.94431664948	0.966506191844	0.966841494546	0.928460056865	0.916336996337	0.913172384583	0.932006889283	0.964450732872	0.946378847873	0.923575729504	0.928154763866	0.935836763443	0.942873092668	0.933274401893	0.934826371414	0.990616219042	0.991410103759	0.990846153846	0.927165967886	0.896946613183	0.960455362493	0.981045456668	0.992990266428	0.989745491483	0.995070209755	0.536535631701	0.540820443847	0.518365144109
D7B	0.17269189555	0.0	0.135056735773	0.931199285733	0.944538727853	0.946484456499	0.999677739882	0.999930695128	0.999886022568	0.880082632136	0.872013156622	0.860036036036	0.948996781026	0.981763007483	0.998652732768	0.998955401445	0.996611374903	0.847439092164	0.834705524102	0.860522631825	0.839422841771	0.892450788265	0.845115766262	0.845348351189	0.805313069145	0.862484400499	0.985678688525	0.941851472525	0.94769291184	0.850247579962	0.835896758862	0.862222760877	0.999674627448	0.999438906241	0.999285082686	0.889617886408	0.848580774507	0.869977619098	0.832152623415	0.837323370416	0.881780150029	0.792810971647	0.811901179824	0.811717849282	0.595431299011	0.668640342911	0.706719019191	0.999064636821	0.99960719488	0.998959748998	0.999428308269	0.999285990539	0.999386088772	0.687758722649	0.842829076621	0.692774089566	0.811224219756	0.82325654947	0.789632707015	0.998672442705	0.998861460436	0.997921029241	0.73568154228	0.699684796459	0.999064605965	0.999216067905	0.998446199663	0.997744388256	0.998399860351	0.99790206856	0.993751796838	0.99279911653	0.993616120053	0.991783730556	0.998271076937	0.998305357117	0.99818342498	0.998592500844	0.998181129216	0.998671662801	0.988463437626	0.993855060688	0.993334073992	0.98704436356	0.987361087119	0.986712305059	0.998431610635	0.99792903493	0.997815684288	0.999534829631	0.994300701779	0.999309847225	0.998199888444	0.998941546929	0.997395307886	0.995118332576	0.993766055095	0.994488881264	0.999328907317	0.997680621593	0.997876312319	0.994670515739	0.991761542422	0.871381504489	0.85549098136	0.847213832679	0.847388885566	0.9142617407	0.935044779157	0.93927277271	0.939952211102	0.859396277803	0.824182355306	0.928286782183	0.94974005189	0.94978929436	0.894361809206	0.906299350763	0.907065540407	0.94292954891	0.93685377071	0.990293735169	0.997056376784	0.990727239588	0.930879893734	0.91560876691	0.953590149096	0.874950854828	0.886499976456	0.881514196785	0.849485052957	0.864281868978	0.839809165558	0.940950298978	0.93218709953	0.92661478715	0.917790872234	0.93263981175	0.928922054451	0.948133936925	0.975004505125	0.974558572242	0.933594489508	0.918785691197	0.914654058928	0.923905915895	0.952050238152	0.95127268609	0.920815171675	0.931108099356	0.944429756039	0.95072256549	0.941778958487	0.918651219338	0.989718716873	0.990683032307	0.990163188719	0.918437591905	0.882479859895	0.95720170888	0.965763951455	0.992466526689	0.98944935605	0.994532056273	0.567277798098	0.604574693643	0.562046922739
D7C	0.202861584436	0.135056735773	0.0	0.921672844255	0.942450339827	0.920479852718	0.999570156586	0.999924598013	0.999916623241	0.866617181032	0.859872958752	0.84761080145	0.969940314704	0.987661546736	0.99892556557	0.998755038205	0.996615669912	0.836522283523	0.826299601674	0.82928808944	0.821991552329	0.886487419755	0.819531499644	0.808923755823	0.785114379843	0.837139536769	0.985055890968	0.924773022049	0.929490089272	0.841212935992	0.8127513487	0.84120476659	0.999471840285	0.999303278689	0.999340015675	0.884198923685	0.843927679673	0.858390384908	0.826668510006	0.801220978633	0.866703420032	0.804761108324	0.809025278632	0.801198940471	0.581464263886	0.631402432974	0.68120041546	0.998918749237	0.999468386731	0.99887137292	0.999313940724	0.999136814847	0.999371786606	0.648602422624	0.814928933506	0.66584476618	0.782327834814	0.784402704733	0.770546374769	0.998440501322	0.998386552099	0.997763806067	0.741508985829	0.706313549302	0.998395166619	0.998932471617	0.998286884218	0.997694157871	0.998439377624	0.997813902649	0.992674917909	0.992610195976	0.992773084623	0.990650797334	0.997845601436	0.997428822275	0.997227536111	0.998120361668	0.998295223653	0.998731953727	0.98766515406	0.993086562005	0.992532788716	0.987460884618	0.988117467323	0.987155095179	0.998333221319	0.997845431873	0.998098588202	0.999112920058	0.994261249772	0.999323032139	0.998437015778	0.998533455545	0.997311935807	0.99391196595	0.993323677183	0.994424316302	0.999082469775	0.997091248608	0.997542906072	0.993761646277	0.978647686833	0.886286821188	0.866463700993	0.852120254727	0.836412478775	0.914348746911	0.921153351997	0.927188542092	0.926894734274	0.878614309851	0.833955081842	0.924280684939	0.940685916814	0.948323059241	0.888957944893	0.891144738203	0.882452414661	0.943546760083	0.939416604338	0.976574566672	0.974842469323	0.979017529507	0.919422473321	0.902659993168	0.945468958611	0.87916940001	0.893890738588	0.90100804845	0.858879335903	0.866965489808	0.834118915775	0.930039125557	0.921731084063	0.916277582347	0.919531601862	0.936566966882	0.930331204222	0.942220991853	0.964246682279	0.964572458755	0.919315021406	0.907043589486	0.906458739777	0.923613762351	0.951509995746	0.937730214791	0.918178270918	0.918815906492	0.930356619941	0.937690897984	0.924419308532	0.921661952599	0.98825471992	0.989730203163	0.989159726557	0.92944686711	0.894375487198	0.956579085104	0.984135541009	0.992076351126	0.988668504529	0.99371094059	0.550283140749	0.604392306899	0.547838918507
E-BA-2016-1	0.914906817477	0.931199285733	0.921672844255	0.0	0.19994865516	0.809579576063	0.999640912083	0.999915021386	0.999481169505	0.903354632588	0.867141118773	0.887260387049	0.971035183329	0.969346571917	0.997522708505	0.998362178547	0.993937097385	0.894220267653	0.907834262447	0.93000896861	0.899219040536	0.827090613772	0.864526098901	0.87289834953	0.87787467647	0.903955423586	0.752739390375	0.804027464476	0.793011595111	0.928937703555	0.913982549668	0.929448702558	0.999650340246	0.999427339994	0.999636600397	0.951077412557	0.938265286035	0.937487604617	0.740556594142	0.858193121824	0.748339332221	0.94681089564	0.94637731445	0.941249277993	0.908539482879	0.909401306882	0.930359189912	0.999546049294	0.999567503278	0.999503386627	0.999604539882	0.999675470568	0.999538733567	0.809057405624	0.883263092747	0.896812699975	0.876270285033	0.88066572238	0.872756292846	0.999372665317	0.999576624	0.999091700413	0.936458042626	0.913309620316	0.99866508702	0.999194253879	0.998199295607	0.996227749617	0.998505524659	0.998844045181	0.995389226158	0.99567050245	0.995949059422	0.992835406957	0.998782143174	0.998795195535	0.99835900496	0.998967240881	0.998970029548	0.99905069967	0.996274632686	0.996403428222	0.996563995582	0.998328302763	0.997984409529	0.997604708459	0.998738472246	0.998476324426	0.998603805123	0.999749485551	0.99566077315	0.999478106571	0.997384880249	0.999254001266	0.998338451496	0.995062089651	0.996110602385	0.993669693658	0.999304194972	0.997952246386	0.998344533453	0.994352223999	0.98616192386	0.944206380124	0.945982750794	0.959845845745	0.951572946359	0.958021653919	0.974207086494	0.964705765782	0.963665959948	0.94855954856	0.929297972809	0.982596003586	0.967326654154	0.984055373586	0.980153946026	0.958004207518	0.954628506278	0.965233074362	0.962841212121	0.973891473577	0.97406769169	0.97377674474	0.96082586645	0.947201017812	0.96760969417	0.954639814098	0.938744488768	0.957490101654	0.986430754502	0.973173724177	0.959674679775	0.961855385803	0.961732078996	0.948237761714	0.936342059904	0.959795773519	0.962414474685	0.915788409533	0.914088802261	0.921283960235	0.918316801334	0.923890839817	0.903892329079	0.93429672447	0.975708822888	0.954147112346	0.948955798002	0.910665129276	0.886493236212	0.882002148605	0.867782848652	0.973816512162	0.994177583697	0.994642810018	0.994521732862	0.991231840454	0.989889040527	0.989192002694	0.996230053096	0.99559753685	0.994817490583	0.996564935923	0.926657235649	0.935425691235	0.928574944138
E-BA-2016-2	0.935587996418	0.944538727853	0.942450339827	0.19994865516	0.0	0.852500866715	0.999486776475	0.99973439575	0.999408405782	0.929391433156	0.898227558605	0.916390716073	0.978323988198	0.975569367083	0.9968015992	0.998064653339	0.994322623113	0.916212374065	0.927369072818	0.948833377468	0.930670868432	0.857207033757	0.895180517711	0.913788950135	0.903489153849	0.922434188853	0.800724236626	0.845114245377	0.834411656409	0.948761937439	0.937047377446	0.951061489551	0.999214617357	0.99933826243	0.9993356076	0.970673132433	0.962806638951	0.965328991476	0.720401154632	0.90953782951	0.697430805511	0.954732510288	0.95512362819	0.950013046046	0.936591305178	0.93775881854	0.95532572769	0.999380179518	0.999559231206	0.999315351473	0.999727535903	0.999436863764	0.999512573391	0.855896883884	0.925729840422	0.930339755542	0.922391344214	0.914393554935	0.916783216783	0.999198659576	0.999301902916	0.998863301018	0.948421642488	0.927912409448	0.998808088368	0.999152371342	0.9981834551	0.99655379083	0.998124826866	0.99901071723	0.996687756343	0.996141070195	0.997412791335	0.993541012352	0.99898957727	0.998931224283	0.997904328018	0.999076486692	0.998622526287	0.998650707981	0.996296721594	0.996681964773	0.997578454792	0.997114237817	0.997737413038	0.997939900867	0.998944094609	0.998380218158	0.998420068639	0.999676988357	0.995504396282	0.999414862493	0.997673032174	0.998947326607	0.998367469955	0.995964306533	0.995666635633	0.994053049502	0.99955114682	0.998104708979	0.998419218471	0.996487814739	0.989323155085	0.943212661034	0.947100467596	0.974211465979	0.96774579343	0.972355189691	0.983822139951	0.980255773463	0.98041970558	0.906936079269	0.876702178059	0.985566249901	0.981751795786	0.986373524795	0.984037398096	0.980069018143	0.978545828838	0.971223192257	0.965183920103	0.988606388847	0.98952705049	0.986961682226	0.976167630744	0.966059807233	0.980501858292	0.965776852608	0.938750485533	0.958409193919	0.987488829312	0.984403697347	0.973448490784	0.976554982066	0.978465598944	0.966378180479	0.925793473402	0.957460472584	0.961561702396	0.883154477754	0.916585043239	0.886601643941	0.936534339912	0.942150922888	0.916514275051	0.932188444743	0.979105191802	0.968773498204	0.956201341247	0.924288650671	0.863243602526	0.841405177581	0.884360730594	0.969671544555	0.998701810017	0.999022838314	0.998659152333	0.991190632992	0.989677579828	0.989580378098	0.995325558914	0.998665454454	0.998770361471	0.99945236169	0.947620823786	0.953116066324	0.949513675942
E-BA-2016-3	0.940386120532	0.946484456499	0.920479852718	0.809579576063	0.852500866715	0.0	0.998050207165	0.999390020739	0.999422674461	0.732764458892	0.71425091352	0.728334431335	0.973793142825	0.989337927181	0.997066471098	0.998727214873	0.986275623935	0.890642725181	0.86725070858	0.821101940665	0.786117027941	0.929528193326	0.78944275781	0.822884699693	0.859112998555	0.819713261649	0.730090172009	0.484791621209	0.528959310822	0.809404199739	0.778449242166	0.756844490721	0.999452654625	0.999579522758	0.999645704163	0.802550779405	0.815562403698	0.80974293875	0.864379736737	0.813427315842	0.880961740042	0.922921013413	0.90206346725	0.892435351451	0.915984821534	0.911184865582	0.897559023609	0.999568500539	0.999612949601	0.999134773455	0.999737139553	0.999669015083	0.999204534155	0.893041926851	0.848089468779	0.899374770136	0.8511006834	0.851237129245	0.876534258636	0.998452970297	0.99903150631	0.998600757521	0.924131778079	0.921995621615	0.996020080503	0.998776957887	0.998065482106	0.995007654929	0.998311119226	0.996657577623	0.989283223841	0.990722525804	0.990334175248	0.988868089355	0.998000438928	0.99802403327	0.991143724696	0.994337485844	0.998362932831	0.998499012508	0.979618872924	0.979382869794	0.977609245215	0.995762772521	0.995599461159	0.996433900706	0.998780803192	0.998231653404	0.998121683598	0.999003708419	0.993158944899	0.999124298151	0.998480243161	0.999249812453	0.996687958363	0.979242037839	0.991455124723	0.991542041031	0.998332837154	0.997798662264	0.996174651086	0.992923637113	0.966338289287	0.945085540536	0.927114967462	0.951890797788	0.937501065516	0.958778839231	0.957861400894	0.956453529831	0.959612984782	0.955469046715	0.922364385514	0.973392260185	0.965877704212	0.97725615979	0.954862862757	0.942109583962	0.926197091028	0.938065495301	0.960126785796	0.97084348509	0.959914362502	0.974894998091	0.963629628382	0.958657318887	0.972226263374	0.941939091972	0.949641261676	0.958817436448	0.967151532269	0.963603429537	0.94504400334	0.957264795503	0.951944622279	0.935428936351	0.96194155604	0.964532844131	0.952496013939	0.952993830595	0.952282845164	0.959571495109	0.935346699893	0.939618815896	0.94875564423	0.951660696121	0.890934956137	0.951432946839	0.953719506074	0.946654348235	0.937853882845	0.940641150476	0.90457425848	0.933621468198	0.992443382269	0.991571849979	0.992910612065	0.9924340974	0.98790018731	0.98647469459	0.992550269895	0.994846024997	0.995976515094	0.993597993598	0.948049872123	0.961542023617	0.949350018033
E-BL-2016-1	0.999777228274	0.999677739882	0.999570156586	0.999640912083	0.999486776475	0.998050207165	0.0	0.670780594047	0.630022174616	0.997803645948	0.998040880298	0.997690827453	0.991274099405	0.995603240221	0.986431760756	0.988622321699	0.979882417784	0.998655281382	0.998032571866	0.998216939079	0.998922921575	0.999480433602	0.998136163603	0.998558335908	0.998527652526	0.997185441054	0.998180314309	0.998899486427	0.99887527616	0.997765838608	0.997733360808	0.996714848883	0.928992746874	0.928258967629	0.95125009219	0.998311880143	0.9978101575	0.997042706793	0.998684859444	0.998445785336	0.998504469597	0.999630120519	0.999673215963	0.999630826027	0.99969348659	0.999724356545	0.999497550559	0.971756595224	0.975758612822	0.971101710064	0.971355858783	0.978199121167	0.957260806217	0.999436963356	0.999654421675	0.999309895334	0.999738954513	0.998656252625	0.999626776146	0.901259090763	0.913133337509	0.932183224271	0.999588420908	0.999583444911	0.957627118644	0.934015974641	0.95118605777	0.946784615916	0.93888875881	0.946650640285	0.905049732211	0.917789757412	0.917342584043	0.918938343857	0.92381334269	0.923189362505	0.948166791375	0.979133733797	0.90513674945	0.909517256123	0.961552999622	0.9778227317	0.977129100211	0.913978181818	0.879032072387	0.913326749689	0.932110057141	0.942666235586	0.918540936604	0.937971698113	0.963595505618	0.953975450038	0.942515468599	0.925242698852	0.897408889825	0.967119461724	0.967106441406	0.972036709256	0.93472718001	0.941676863019	0.912159238425	0.92472503928	0.933641390804	0.999850430946	0.999752371047	0.997497403556	0.998505647263	0.998238211241	0.932208548114	0.935223716894	0.942900521487	0.999484577595	0.999679199281	0.980490715876	0.984147420938	0.979769174894	0.982766166977	0.981830086757	0.982908301682	0.976655104811	0.987943925234	0.927712332153	0.921903482683	0.949796757842	0.999382313579	0.999260274569	0.999677869645	0.993471502591	0.993262632564	0.99359688196	0.998880966386	0.999412506273	0.999117084417	0.999149429731	0.998567833541	0.998542698922	0.999582672565	0.999804572992	0.999665159886	0.999799438428	0.999677901086	0.999837921068	0.999859267251	0.999668139299	0.999535971159	0.999818655786	0.999307119349	0.976503822613	0.99959277688	0.9974887517	0.999755137735	0.999847027554	0.999615922746	0.999665518279	0.970346502288	0.964244051979	0.972378308848	0.999695919236	0.999205999118	0.999696935258	0.999934580662	0.981030519915	0.983398999513	0.966639265653	0.99977218362	0.999765459172	0.999776586238
E-BL-2016-2	0.99996940399	0.999930695128	0.999924598013	0.999915021386	0.99973439575	0.999390020739	0.670780594047	0.0	0.261903750584	0.999472728338	0.999441215914	0.999279159389	0.99496332788	0.997561288666	0.975288636824	0.979738046394	0.972261011574	0.999163763066	0.999432653377	0.999517478018	0.999603781061	0.99968164019	0.99949741167	0.99949875943	0.999384075996	0.999058484714	0.999447327213	0.999763520704	0.999647375149	0.99877794185	0.999097540799	0.998487352587	0.93275146659	0.940097263676	0.961846334853	0.999532663484	0.999381800198	0.999186890168	0.999192656686	0.999386140951	0.999038076152	0.999924417067	0.999955516014	0.999952549289	0.999887014161	0.999878792776	0.999819665479	0.964323673209	0.973822083791	0.963659913035	0.971575372289	0.971623155505	0.96322147651	0.999904287902	0.999919054557	0.99969932563	1.0	0.999752979683	0.999896533885	0.90679408806	0.930246312938	0.946927971327	0.999959705853	0.999926046443	0.972326013066	0.929095425983	0.944350136541	0.953620138411	0.936981705387	0.963904060793	0.934189922564	0.927263117908	0.928849838145	0.927890034827	0.933091535417	0.932713252246	0.974417282547	0.990790176188	0.873405063797	0.845009546589	0.976819324068	0.987228758943	0.990475564898	0.923007094106	0.906433846539	0.909801929914	0.935542676788	0.950354397823	0.916837819335	0.960362189161	0.970113421259	0.964431767415	0.938386428104	0.925427698283	0.915320357019	0.982612535534	0.967056456683	0.972089841523	0.965659302679	0.949676124441	0.931520072682	0.945382917724	0.950811629445	0.999837763297	0.999802832638	0.997709072075	0.998564636225	0.998363440688	0.936866889339	0.937121864277	0.945704594511	0.999563974614	0.99969022865	0.973795961605	0.975126524342	0.97184168064	0.98253703866	0.983967234348	0.985150199131	0.983033150613	0.98892287344	0.923661910625	0.948408953418	0.948217152308	0.999441347875	0.999127058186	0.999747323205	0.993875910639	0.993103379741	0.994372028984	0.998868953893	0.999510677027	0.999167074963	0.999501447188	0.99870234731	0.998475288316	0.999501975857	0.99978682773	0.999800521139	0.999880305222	0.999797253917	0.999788397854	0.999841554038	0.999767076224	0.999660175141	0.999876149488	1.0	0.979656433422	0.999757722592	0.99786689968	0.99984546836	0.999890073651	0.999789214825	0.999841194219	0.946672563855	0.928113010115	0.946937893567	0.999327544028	0.999270727298	0.999829336974	0.999412352354	0.951692987077	0.958406640502	0.926441872169	0.999902358053	0.999848702625	0.999927835176
E-BL-2016-3	0.999966829204	0.999886022568	0.999916623241	0.999481169505	0.999408405782	0.999422674461	0.630022174616	0.261903750584	0.0	0.999243049821	0.999218699134	0.999161155025	0.997364526527	0.999091766514	0.98455842514	0.988884314533	0.984936923367	0.999246971274	0.998872503931	0.999441514117	0.999537343027	0.999168802383	0.999423963134	0.99931087949	0.999138372062	0.998904568593	0.99832696854	0.999677532045	0.999503722084	0.999005964215	0.999080908751	0.998824489796	0.919666391282	0.920302542195	0.948545493027	0.998392476791	0.999266808417	0.999182216936	0.998766930621	0.999463533703	0.999286128586	0.999874602909	0.999899714185	0.999946055293	0.999833437435	0.999954983344	0.999898187742	0.967729378333	0.964096772276	0.967205080558	0.962744311343	0.972648243692	0.957965007519	0.999891061605	0.999864688106	0.999614346317	0.99995656989	0.999926772115	0.999319676468	0.906559697971	0.932275713471	0.948088754955	0.999955117704	0.999918390664	0.973632892966	0.942736283856	0.955619423186	0.958731733718	0.948721478473	0.964413003564	0.93693585269	0.932399545725	0.93308576991	0.932122951272	0.939248196431	0.935352207675	0.972696472464	0.990198441391	0.876308859159	0.846423189434	0.977773847424	0.987061769616	0.990068574131	0.924829184243	0.902240048948	0.910940712817	0.93573182137	0.950097087379	0.926251838588	0.960945465781	0.969050997413	0.965401701679	0.947197233862	0.93173420372	0.922938455579	0.981963477647	0.97068281377	0.974248511545	0.961020165311	0.954957672277	0.932243137419	0.945955907761	0.950534599469	0.999883876212	0.999892449989	0.99777595938	0.998738948667	0.998472386523	0.941333960987	0.942431171918	0.950421704978	0.999561233708	0.999785301758	0.98030094692	0.984149743795	0.980478456104	0.985681568869	0.987437330721	0.985922081394	0.983113673806	0.989045914201	0.933334375635	0.948029019889	0.954921326179	0.999484305237	0.999315604224	0.999822042287	0.994488779756	0.993972057977	0.994980355611	0.999154016074	0.999608683116	0.999242483609	0.999493557757	0.998879935285	0.998974848437	0.999725057566	0.999888383514	0.999893524988	0.999894937015	0.999737178492	0.999932918171	0.999896621237	0.999717061209	0.999580043675	0.999932795699	0.999925791251	0.979002799627	0.999787202349	0.998157999643	0.999944888399	1.0	0.999922863314	0.999735111033	0.958751910429	0.953277465274	0.960413945544	0.999728987275	0.999736603836	0.999665087795	0.999695499924	0.970860517903	0.97430054557	0.960942579763	0.999791823883	0.99962255905	0.999718198004
E-BP-2016-1	0.892451315845	0.880082632136	0.866617181032	0.903354632588	0.929391433156	0.732764458892	0.997803645948	0.999472728338	0.999243049821	0.0	0.304108047271	0.216601097135	0.940405178812	0.976481740622	0.997575602909	0.979139102055	0.978373024062	0.6941899823	0.63719585642	0.596929779069	0.443622920518	0.830491071429	0.519015248944	0.651720828191	0.643999834649	0.662576008845	0.933732040971	0.811580465691	0.823413278736	0.500470455401	0.510357126526	0.475816032132	0.999049881235	0.999330857506	0.998918005072	0.555090071219	0.521004884857	0.534183746596	0.711821332307	0.61837833395	0.755003450656	0.893180515759	0.882248125325	0.870104032826	0.889458981814	0.882528589581	0.879726651481	0.9993754879	0.999413661683	0.99911167865	0.999543066027	0.999633431085	0.999086055125	0.946234749684	0.880614130089	0.936790469516	0.871371174818	0.941798941799	0.883256605284	0.997267597268	0.99726672676	0.997102871428	0.917375763135	0.906449287418	0.995737607093	0.997857482939	0.997839132529	0.992610523634	0.995704733649	0.993689804052	0.981396649998	0.982316284539	0.983868692094	0.988796329832	0.99593946977	0.995320125688	0.989858957921	0.994140298008	0.997316484106	0.996998706339	0.97292143402	0.973804100228	0.969418960245	0.990731248332	0.98884288516	0.992142040086	0.996863960781	0.996151641693	0.99604518908	0.99567389401	0.994463019358	0.997461170848	0.997468629082	0.997846319514	0.995345680209	0.978145077151	0.987647744778	0.990098725749	0.995701295123	0.996520131583	0.994771767545	0.99382817373	0.985099968814	0.907478907479	0.876890756303	0.897540486076	0.869481893779	0.920664343442	0.922551335635	0.922085175704	0.923302618432	0.921477487528	0.863510660442	0.939572520788	0.925654708578	0.932473079077	0.910440109707	0.895732658331	0.884488965409	0.902392451982	0.934740537378	0.957814674691	0.967300347595	0.96318101112	0.953934045671	0.948698884758	0.963721885111	0.921599814437	0.931095427748	0.931075956358	0.897588691796	0.910147338403	0.86808764815	0.947330540536	0.941676082129	0.913177015288	0.934950163432	0.944841005467	0.927123032145	0.913781571875	0.930044234656	0.930949735277	0.914484043379	0.912926781133	0.919881001231	0.920123679464	0.852888666714	0.942711432214	0.934376465362	0.92886168665	0.909008585994	0.919275304087	0.872108563792	0.906595784138	0.996069338633	0.997304033776	0.996921103271	0.971947412391	0.957988995125	0.972482151521	0.988010536195	0.997696596862	0.997823580748	0.997978074748	0.940103270224	0.949777727117	0.938637305938
