	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.296771349866	0.295853866276	0.572518153084	0.615286981923	0.521653902332	0.820355222374	0.818732152105	0.836728859798	0.540307471358	0.547760963291	0.532589387122	0.716835160646	0.776255890015	0.797023137226	0.820418102455	0.785508813316	0.572519209019	0.598137552846	0.51440425135	0.51759426388	0.553447010929	0.507611788746	0.535314045564	0.50649389842	0.520885915877	0.777846121718	0.53025943579	0.531303494135	0.578495201345	0.560570067093	0.591846577482	0.819929928098	0.817174229734	0.815799598549	0.515484570537	0.508061337338	0.523197006646	0.569790550446	0.507785504972	0.582728943099	0.407774005413	0.420425983183	0.447813834985	0.388889334233	0.394000542362	0.402755831996	0.803999089376	0.84261276764	0.80269623374	0.842202397151	0.811796919307	0.782278362485	0.521818001688	0.42820007642	0.506341212001	0.411929666122	0.523373232226	0.424664491138	0.76766304688	0.826655560806	0.807223322663	0.445490765186	0.373027965021	0.766383454117	0.842999852672	0.811319413236	0.832618364174	0.854098458456	0.858948226073	0.810731548899	0.830801032995	0.819719280855	0.829307416719	0.831778979317	0.83616940317	0.808565484522	0.798456003181	0.848607222198	0.850807483985	0.798952193749	0.783393308575	0.78326051433	0.829955464763	0.8332817928	0.840195352283	0.864942958898	0.851545054485	0.844487931996	0.838884047664	0.82043888119	0.842278889358	0.8607789859	0.870320110815	0.852546969429	0.802955412441	0.819939599146	0.819731108094	0.838032966057	0.854113725544	0.843425095948	0.82627423166	0.825049873614	0.687999609312	0.693302445829	0.710838575742	0.688609729293	0.715858843683	0.790498566399	0.796640896206	0.791951527415	0.697858614509	0.693173003823	0.801630253686	0.789859055299	0.791295169062	0.772894456328	0.769117820511	0.773567879447	0.776582750884	0.785445877152	0.835336395779	0.838479285381	0.826533415971	0.648864329992	0.669692621859	0.677144985771	0.756992845433	0.76027193677	0.746758942174	0.68848833203	0.672371272018	0.695522880134	0.665530506335	0.660023204704	0.677719274723	0.706130389736	0.721418690268	0.689715383689	0.70110240662	0.711410488062	0.725206361136	0.658004759735	0.654181204384	0.644078006395	0.701113027511	0.653134153916	0.774622469968	0.684012437078	0.707391480714	0.65463888448	0.662454007677	0.656327857118	0.682636231519	0.75923800509	0.790833524942	0.772880940459	0.606783521351	0.626634792454	0.697133714505	0.686041172659	0.757623635793	0.746126488234	0.763080925557	0.380512889211	0.316078844299	0.33938160765
D7B	0.296771349866	0.0	0.320656482241	0.56007081924	0.600779070638	0.54485750226	0.823641336504	0.809378501604	0.821749038689	0.536329130653	0.534724919705	0.533828394179	0.681470052589	0.723443247556	0.784646086905	0.809281132388	0.764836427158	0.581795436602	0.577821919374	0.540559584811	0.551837268646	0.535023331916	0.512082268754	0.549401135883	0.526290585247	0.523796697086	0.748235949614	0.554564054409	0.536496231712	0.581894782125	0.550906489223	0.586286829436	0.830030771292	0.807121242924	0.807248251022	0.52031002137	0.515018293733	0.525428924714	0.587379502428	0.533236371393	0.599443220155	0.435333044029	0.404372954878	0.472602332853	0.367247916759	0.442012247325	0.44954523024	0.807144195937	0.844507428489	0.819187683724	0.847048829792	0.823340875044	0.792022125055	0.519173955553	0.46143654369	0.496308260071	0.423703464362	0.552883106409	0.405813548839	0.775047631066	0.83289847654	0.816621945446	0.439019314349	0.404319625481	0.773695342304	0.837565369947	0.817083728828	0.832969991833	0.848150614785	0.856898216655	0.803761436525	0.830145071629	0.813442283883	0.83744972144	0.829254047223	0.832601754442	0.812816144683	0.797353014383	0.840698791821	0.841644270644	0.796008361221	0.779493874682	0.767643421714	0.818145061832	0.823504944435	0.83737265306	0.860696101978	0.853934476677	0.836609110348	0.847092430865	0.835389996727	0.8295227656	0.851734736428	0.86969780395	0.848741194248	0.805173381934	0.81305347556	0.809407430473	0.837469933208	0.848421039409	0.832059244694	0.832144746139	0.829003076939	0.674062178003	0.680947923452	0.699255995759	0.679250035598	0.707093211461	0.778216162013	0.779554552006	0.775738418724	0.684198547952	0.687143996111	0.776562392284	0.7684063395	0.767128190553	0.762968920516	0.742225202015	0.751159857958	0.758031560878	0.770932415693	0.818891279626	0.82318403951	0.80782207046	0.67995502793	0.672494786935	0.664652270808	0.751770191594	0.75381413969	0.735794966365	0.686135722825	0.645051884624	0.685521872307	0.670158863953	0.677641559567	0.683148592202	0.691269415484	0.704622428101	0.681365786694	0.689583059752	0.690226717421	0.714545400463	0.675364891151	0.653977225059	0.656950302757	0.682896871108	0.657942873035	0.762743833144	0.67914514503	0.706119679553	0.665974725199	0.666013453397	0.652898034205	0.668772803354	0.777511656845	0.788155473783	0.78024100454	0.601234022362	0.626347954863	0.6781318295	0.725965477991	0.760341212538	0.763522766398	0.750428574934	0.35366846175	0.338049588679	0.347005090355
D7C	0.295853866276	0.320656482241	0.0	0.604557385173	0.64946891477	0.558794521055	0.794501044254	0.809455167857	0.813884461734	0.555701998332	0.569749778991	0.570995221403	0.706863801122	0.774528032252	0.769041474476	0.79402628861	0.751883419882	0.604630200433	0.604986317374	0.532752250041	0.554040124822	0.593800526533	0.530757657103	0.551387915146	0.547671115384	0.573621569474	0.791639779739	0.561682386255	0.57167417394	0.60249518242	0.5676536222	0.599128706063	0.794559975597	0.790928467594	0.789804843849	0.557763066318	0.552236734437	0.535733587149	0.603023883535	0.536214078835	0.61328444258	0.457422981394	0.469392367071	0.471340821841	0.418386808796	0.379417050178	0.403349557714	0.776962885189	0.814388588521	0.790363436403	0.822980576546	0.785876923802	0.756856938078	0.549609498299	0.480497343767	0.510971629649	0.443514820586	0.526676776264	0.453127225263	0.763647432036	0.80542931093	0.809371731757	0.430130344285	0.40102708002	0.762941097277	0.835475682246	0.799098855506	0.816899704772	0.836319915965	0.84347069489	0.788269110024	0.813685340246	0.799040683344	0.823036049826	0.80900711134	0.821495683998	0.784231108838	0.773922162615	0.835668701769	0.831241046713	0.778199822867	0.758704364567	0.764243232367	0.809182311979	0.820930609733	0.827231506246	0.84822933992	0.841497847492	0.831607654078	0.821097996564	0.823728369392	0.821865290878	0.841804635477	0.855223466763	0.834351762618	0.789746013228	0.811456636313	0.806400995788	0.821553825277	0.839115114013	0.819120198013	0.806128032218	0.80482823667	0.668906035899	0.684218839585	0.707699111148	0.680850461854	0.705708246555	0.775689124815	0.780654689158	0.777709461519	0.688299664524	0.670939870398	0.786127641403	0.77855257035	0.770605864533	0.758267093833	0.752608810868	0.750483224639	0.763166058074	0.770456025214	0.816934654859	0.818385055995	0.804249611646	0.664998806252	0.625564432161	0.672961409926	0.750499649355	0.751498076102	0.729013690152	0.673326008439	0.653219116159	0.688892081483	0.658351877895	0.633834274839	0.673720732906	0.696379304041	0.71579112045	0.680442819899	0.695024619139	0.709426644936	0.718873538206	0.666579361851	0.639352412859	0.622996180555	0.688942990608	0.651135814294	0.763244505265	0.682498197494	0.709275381823	0.658959650849	0.66752899201	0.648734547256	0.693069338765	0.72671954558	0.761828924284	0.746338384251	0.632941567876	0.645651502979	0.716201745762	0.732467507233	0.719193756709	0.722327862909	0.727302225896	0.3508755496	0.296900951792	0.342181139657
E-BA-2016-1	0.572518153084	0.56007081924	0.604557385173	0.0	0.343166790883	0.409260069956	0.797579600645	0.799661018534	0.795511284227	0.501786729009	0.52079104265	0.494048095123	0.636927646082	0.697517666658	0.761023288099	0.795870890059	0.72841128465	0.502568386525	0.481601047461	0.491097568794	0.503254656319	0.436180236197	0.480182463873	0.483218833029	0.488319119321	0.453585338063	0.615375337099	0.437115617218	0.374811288109	0.621847221286	0.582977863172	0.571001099261	0.806582723466	0.773297721646	0.782272404179	0.457608139708	0.470559016425	0.475536735227	0.505674808141	0.535466226554	0.519435929001	0.5512862054	0.534266561151	0.561992560675	0.597845257755	0.604308469327	0.624387918313	0.813199297187	0.837836646393	0.830249430695	0.837623769531	0.814634516639	0.782832290797	0.543122779766	0.549839755348	0.570110792686	0.546160342125	0.577197100444	0.563168369361	0.796133086082	0.849034142854	0.846633030342	0.596016440346	0.544722150271	0.78053817362	0.859818308183	0.833136054824	0.851196717989	0.864673971746	0.864700965197	0.82655127126	0.853651650365	0.844474489167	0.850004303148	0.843353342002	0.85003574332	0.826752803115	0.813727476398	0.862759615214	0.870244805461	0.829150782059	0.79279811327	0.783559528438	0.852714366797	0.850064405188	0.863632720372	0.873377067533	0.866837989956	0.863433343985	0.849189338702	0.842621502194	0.835123407604	0.863456418506	0.886623240995	0.868467398414	0.821697358492	0.836239471851	0.847316395452	0.848916163761	0.869508502698	0.850239171781	0.838493028441	0.845117080334	0.743695320135	0.743881457677	0.753384458024	0.740314267352	0.76182446319	0.831236794006	0.82487715136	0.824951195286	0.748367883057	0.752894149406	0.826884843051	0.823271263623	0.823685311384	0.821167285847	0.812216067532	0.815691872837	0.808750261375	0.823857692701	0.84291231575	0.834386279291	0.83555908352	0.681009741224	0.708744624454	0.687979576238	0.81521650067	0.808923751928	0.797133223789	0.751390574978	0.741644557477	0.734787411748	0.704976864566	0.703698322806	0.743896827283	0.75057477781	0.766385716665	0.762087045796	0.720209643794	0.688697885325	0.700922933934	0.687216302343	0.707693853344	0.705671269286	0.75029078666	0.71694194787	0.778919446604	0.71317152944	0.726338917837	0.697428532298	0.692619924347	0.693528449273	0.707137903187	0.789651385344	0.799619909403	0.788644706591	0.695307838473	0.682610847121	0.720793691207	0.747317923661	0.770309318396	0.792420751233	0.753153544286	0.61034444857	0.587526622708	0.577957408218
E-BA-2016-2	0.615286981923	0.600779070638	0.64946891477	0.343166790883	0.0	0.421079518498	0.783083113744	0.773231450215	0.781149288105	0.535811414463	0.544300969119	0.526914319685	0.678586280077	0.7057579979	0.77765375328	0.819287198918	0.756846446016	0.545415962567	0.557463810916	0.554786905414	0.555149735836	0.495836364396	0.528733533414	0.525995589071	0.531602731473	0.487096939295	0.597991071509	0.485030570967	0.406751773866	0.649572961226	0.602189701713	0.589933757127	0.79836035064	0.769781697368	0.779000500412	0.496317422314	0.526593244319	0.508717673993	0.532261969029	0.543432439407	0.548193342382	0.599430539295	0.57920001444	0.56873935176	0.618607087737	0.621639002472	0.638489693594	0.811939279978	0.834125387965	0.817073178703	0.836494899542	0.802838323057	0.793215629978	0.565151055091	0.569747890563	0.582664759572	0.560911098155	0.588882587302	0.601053082127	0.809845066581	0.83809507114	0.845357501788	0.554047893514	0.54624719772	0.796177572156	0.850854188177	0.820048272667	0.854154371493	0.866414614811	0.861933342678	0.841307574681	0.849099571182	0.85637680857	0.839865221299	0.844454660357	0.851111220532	0.809245602141	0.792570733824	0.863715311678	0.858176894025	0.842125070903	0.808485872878	0.800489177996	0.855139902909	0.854604598249	0.864504329402	0.869670140734	0.857496017197	0.868246395955	0.846520389348	0.835975658659	0.82671282462	0.873103054664	0.88004974194	0.858049526818	0.826989651435	0.842250309516	0.853859426181	0.853496461266	0.865219818628	0.863159884755	0.831809738848	0.858208223505	0.754642945523	0.764117153428	0.761833092258	0.742674270611	0.762171839638	0.838518032658	0.836475936224	0.830263086254	0.756350026433	0.757416854347	0.832026013774	0.824251351065	0.829389201952	0.830448409412	0.819186924333	0.825112527635	0.826676702955	0.823967263732	0.850862639283	0.830564063966	0.838778805308	0.691876970508	0.724427832939	0.70389828366	0.824518754684	0.813389763005	0.816541028311	0.758206241809	0.741160068294	0.749513998409	0.717918612935	0.715368671268	0.745764071918	0.769648242479	0.781535013973	0.768040481468	0.736614553127	0.709797587605	0.7235917864	0.702343266413	0.719278447414	0.722032969167	0.755316913479	0.747423449647	0.797586274951	0.730336401287	0.74803242723	0.712806119389	0.716343174517	0.707182201482	0.719095225699	0.775654300917	0.801748150812	0.787989991072	0.731120160115	0.718028557862	0.736227348118	0.730933669678	0.762977885696	0.783242308758	0.781029826686	0.593412055793	0.633992722997	0.595662735616
E-BA-2016-3	0.521653902332	0.54485750226	0.558794521055	0.409260069956	0.421079518498	0.0	0.801213643716	0.804021158729	0.828971517516	0.451709261736	0.433625266504	0.449436235572	0.693560492936	0.778647211468	0.80068637424	0.827524137824	0.774665670572	0.516278867443	0.522449778313	0.466413623856	0.464623063019	0.492793342577	0.430724325342	0.458145024365	0.479016106979	0.434230385676	0.701573107245	0.29603768704	0.293881720887	0.517138238081	0.507814160152	0.497735079505	0.822497750472	0.818567914668	0.827585518691	0.422041730966	0.438898032882	0.436542403331	0.470111913011	0.410754701515	0.521883756705	0.493636941805	0.482237122028	0.496060643609	0.566392037033	0.559376629498	0.564402550625	0.829836290785	0.853994845358	0.831632279274	0.855716279146	0.829312489497	0.795490313828	0.539699338529	0.521387592772	0.540776125284	0.491902332871	0.544670659037	0.521491435785	0.795694322468	0.843849392742	0.83405208768	0.502249913542	0.448193575531	0.784963703585	0.856472682876	0.832428997703	0.842571152609	0.860080340079	0.862629117348	0.815491609867	0.833383452159	0.823038352012	0.835348234538	0.839306863196	0.843540776596	0.816383040178	0.804141430364	0.85540665861	0.858155508893	0.80684965395	0.785683369308	0.775236589856	0.835453579996	0.84878518778	0.844771816191	0.867837348039	0.860703465755	0.854166021058	0.849830809192	0.832129465448	0.844884960654	0.86319280959	0.88225349246	0.86426461062	0.797993397803	0.815678563707	0.826912025862	0.847328757568	0.869088378706	0.849241122456	0.839102501985	0.839022226077	0.686369868076	0.689120348217	0.709335785403	0.692329394752	0.71096305988	0.802756622305	0.80760054448	0.806153418688	0.697326369231	0.707029779419	0.808412422413	0.80096907649	0.80982939439	0.797325543663	0.783700092899	0.793075988736	0.785727080587	0.785815152458	0.842482776443	0.834451757254	0.824483186916	0.668669101813	0.697610741317	0.68166204123	0.782012480119	0.763698934794	0.757314085528	0.688677621125	0.678967649189	0.703747818677	0.666312545241	0.674969457076	0.713321320352	0.705460295102	0.715174462638	0.692120300173	0.691627531393	0.67226693311	0.688313702147	0.665388979903	0.676537528916	0.688231638491	0.716742716484	0.651990220791	0.762249027134	0.670092696515	0.696881898646	0.648493531338	0.64946572486	0.642453594624	0.665885473707	0.798655777406	0.818150518926	0.818055150638	0.715536706895	0.68406773476	0.740996806687	0.756531121455	0.785355052048	0.797504799537	0.785446533384	0.540932799774	0.555054697474	0.544084275077
E-BL-2016-1	0.820355222374	0.823641336504	0.794501044254	0.797579600645	0.783083113744	0.801213643716	0.0	0.394546251121	0.327943376547	0.832032863681	0.841126078428	0.819385223051	0.759596596828	0.776922670635	0.714684459057	0.739007787094	0.725987264784	0.789770428423	0.795455045018	0.801708001621	0.816854574275	0.809764535807	0.812443022943	0.816444220583	0.819713119507	0.819260270264	0.734184380468	0.81321252716	0.818178138089	0.815989163909	0.818003375196	0.811716541028	0.63582023848	0.672099094343	0.662239791155	0.806428902117	0.817846132839	0.79344441817	0.815281471379	0.821412283555	0.817203831636	0.819667661417	0.824313006262	0.808588246186	0.817528950925	0.815934079011	0.812905096333	0.696031277279	0.686567126567	0.704039128916	0.682719200468	0.702294957832	0.696110325726	0.786602671416	0.821679634403	0.772621841736	0.83059358602	0.744627105662	0.822849823406	0.749188144225	0.776947969732	0.809091045605	0.793506957858	0.791003857489	0.765870768047	0.806526391841	0.794169424604	0.840719435769	0.836852250704	0.829143089461	0.824256436322	0.841750259825	0.848129989575	0.823275176359	0.808400086344	0.818214826048	0.785844142845	0.767234141787	0.84312602894	0.83731251788	0.827077768607	0.820735569503	0.813790761733	0.844080729708	0.841908309321	0.861401986327	0.833262610962	0.816521342133	0.835167410975	0.784492892553	0.8305413246	0.811278777056	0.843959912137	0.835958508514	0.821721466851	0.830629266862	0.859997465173	0.856979289289	0.789916114007	0.818318431367	0.824737112974	0.795030561601	0.838271071136	0.854014660487	0.868618296206	0.873264749645	0.864406148914	0.868109601318	0.865419407176	0.872717680887	0.86689955392	0.867064012636	0.858646132152	0.878448980228	0.863126633638	0.865380757735	0.870421731541	0.864358035867	0.880161119547	0.868056051902	0.869857920566	0.863955204476	0.824297790912	0.855477549804	0.840327439916	0.827028092763	0.83201719552	0.876682663844	0.874958752329	0.867218295445	0.846854346906	0.849530025849	0.866185318807	0.842287054658	0.809325020701	0.845093499308	0.869275001572	0.887437052794	0.867234473712	0.877778805584	0.865284141888	0.865600360826	0.865294316764	0.853855531879	0.864812083469	0.866808389134	0.852299871899	0.861429557891	0.876396888931	0.863172753239	0.871120631545	0.873320448026	0.869278315199	0.859624887514	0.682794602586	0.66985178101	0.683412483752	0.822376732872	0.810497205357	0.820737887033	0.840481066828	0.693630816632	0.716463937194	0.689879391148	0.824004412429	0.825787758854	0.820274948903
E-BL-2016-2	0.818732152105	0.809378501604	0.809455167857	0.799661018534	0.773231450215	0.804021158729	0.394546251121	0.0	0.383893302155	0.817523901915	0.811407384839	0.806003210304	0.70524823704	0.757214392629	0.716164353133	0.731581243539	0.730487771391	0.768999486991	0.784326926093	0.806864572771	0.794855133324	0.786030043368	0.789616650983	0.796270000205	0.800155252298	0.793456751091	0.790980953312	0.823595217592	0.806489150936	0.80363094797	0.805774832851	0.793586549842	0.624004918562	0.621210766419	0.617934574569	0.787767324631	0.789951992853	0.779023258484	0.798114467928	0.805787490996	0.797035033501	0.821162998889	0.81574551941	0.80617266149	0.786376571498	0.80729154587	0.8012878953	0.687043711731	0.654537250342	0.685270841844	0.646593997436	0.677718034484	0.658685154413	0.782382046645	0.80619180121	0.763362472149	0.814407788301	0.762525012948	0.810212945756	0.717798221803	0.719381279367	0.745477801949	0.796622732038	0.799221159516	0.728514214504	0.76206690463	0.765022617283	0.818264399975	0.805109735125	0.795844512439	0.794065336826	0.815138616745	0.821487393084	0.784471931264	0.766916221758	0.772910728163	0.753149022038	0.751438145664	0.803747459363	0.804693841451	0.802623634658	0.791336469348	0.776311356915	0.817454030599	0.814491046196	0.833378563007	0.793500776758	0.78052794937	0.792032341505	0.767509482345	0.800139670058	0.774676080926	0.820877147383	0.804837509988	0.791271793815	0.803482910282	0.824786807988	0.828541829385	0.767764029552	0.796165996514	0.790094042725	0.772453548536	0.798424096408	0.846041481018	0.853574047508	0.845156411752	0.840504819852	0.842296818524	0.838054947277	0.843733043886	0.826815161601	0.844447482791	0.840168263891	0.846641974842	0.832952639303	0.826562924683	0.842881630367	0.83054657958	0.844318555888	0.835870019162	0.840658296015	0.827854324715	0.782652873533	0.823301973869	0.807534527153	0.79598555659	0.803973517411	0.85045861095	0.860525398624	0.850323037687	0.823406713512	0.825955894228	0.834147714992	0.827920159464	0.793397988981	0.818405408932	0.849666150364	0.86621301489	0.853197130995	0.855884594624	0.841939847622	0.838192680454	0.835349302077	0.83269278797	0.846419588217	0.847455224901	0.842524108026	0.832387825611	0.853358458724	0.846842762981	0.858040850051	0.853533438695	0.856573992438	0.833605883302	0.680436360578	0.672500657141	0.692601670761	0.781773204008	0.783394687241	0.805719805771	0.80129381408	0.685460083649	0.709946312213	0.702515976627	0.805228150466	0.821148734956	0.804106719817
E-BL-2016-3	0.836728859798	0.821749038689	0.813884461734	0.795511284227	0.781149288105	0.828971517516	0.327943376547	0.383893302155	0.0	0.838625134004	0.832776815085	0.822657902625	0.760387060708	0.791758111274	0.68508186847	0.713392937617	0.713941821852	0.795426064952	0.795886930711	0.817394843687	0.819211462835	0.797176481681	0.803373290232	0.810693057618	0.806004076626	0.807524196875	0.736953575865	0.838638243267	0.821283480925	0.82596533242	0.821790686705	0.826088140469	0.654037694171	0.619136645004	0.627920841011	0.800408861028	0.804110409234	0.799955861567	0.820820236741	0.832685472442	0.820066491855	0.831520235189	0.824023336001	0.826411760212	0.80851108277	0.826462723004	0.82864088241	0.693548898495	0.66656794873	0.705098872504	0.667744903952	0.703050539314	0.680305123182	0.803730774563	0.812674055386	0.770075794208	0.819118184172	0.77928364438	0.819176833657	0.728878574816	0.774251813721	0.805417083592	0.817311181874	0.812096827873	0.758955348086	0.801635079113	0.794470505262	0.842563710505	0.83609882146	0.824856421775	0.827478068772	0.842754421549	0.848647719675	0.820684118693	0.807261552627	0.819176340339	0.772834156327	0.770927554972	0.840817848871	0.83741240538	0.819119701967	0.81573083531	0.795270341158	0.84754089491	0.838387551823	0.861944493895	0.831577341864	0.821834018122	0.832485249203	0.785714298248	0.828907555628	0.803100863597	0.846801334184	0.836583380864	0.825716713324	0.82670104365	0.856832670745	0.860457366745	0.791892747541	0.819870279447	0.822417874055	0.788950220794	0.837673977694	0.860495332231	0.876058414957	0.864457957892	0.861189497458	0.866385095432	0.868243813645	0.871386380236	0.860061236996	0.863905456543	0.861073565432	0.872021631093	0.863310041178	0.863684091054	0.868757217632	0.861041055552	0.872171265693	0.86276441459	0.865429578267	0.857035154005	0.823408445856	0.85132051521	0.825474103197	0.816424993284	0.827024324901	0.875490879748	0.881979962281	0.87339851234	0.852054075433	0.848686916816	0.862310703015	0.847227700837	0.812398187796	0.846078066185	0.871379759126	0.894102003294	0.874738202383	0.880561771824	0.863652379356	0.862485802228	0.863010270472	0.849767332413	0.867925352187	0.87336770229	0.860477969268	0.856097333946	0.868001444494	0.863999001758	0.881669006837	0.87552311676	0.875919259733	0.849374136017	0.702556429902	0.670058118414	0.702828676938	0.827152132169	0.827505988956	0.834597454956	0.838858627178	0.717789890857	0.730185770318	0.687716981614	0.816702333319	0.830639088352	0.81286326859
E-BP-2016-1	0.540307471358	0.536329130653	0.555701998332	0.501786729009	0.535811414463	0.451709261736	0.832032863681	0.817523901915	0.838625134004	0.0	0.302307020074	0.220665275479	0.705004988972	0.778418986778	0.805529422598	0.78965048665	0.779921890885	0.302731043261	0.332594802974	0.284647389295	0.269748977192	0.411836967935	0.337542608371	0.288060278746	0.276465961897	0.30569075674	0.758740586881	0.403998458253	0.385213099626	0.368953565508	0.395636670738	0.319380078108	0.83359750288	0.81874562289	0.829683644124	0.355072078689	0.335575954972	0.341267258539	0.329404017314	0.332115499776	0.375082512539	0.502343129339	0.502067152234	0.459422903848	0.553427071401	0.570905674535	0.570711185451	0.845788682308	0.86436345207	0.844757914791	0.864329743034	0.836107600357	0.811034966775	0.566443564661	0.455880370328	0.540048278534	0.444838079752	0.667671301884	0.46560951079	0.793705533322	0.835388064798	0.831743163376	0.552681405352	0.507129754505	0.79285852257	0.842743029056	0.805749345283	0.838760723657	0.846025422575	0.855807891422	0.805225885989	0.823036400601	0.814159842217	0.82871112254	0.827578985923	0.83052862258	0.820706733235	0.813356980743	0.838419310178	0.845569688388	0.804714492917	0.780135149801	0.780151420441	0.817149871066	0.80465502661	0.819037258629	0.863064754724	0.852026280195	0.841869240279	0.849071767058	0.826768205886	0.829730603946	0.848916368253	0.865921403291	0.853100998029	0.802410140823	0.799938631559	0.817808158538	0.840069536051	0.853765142861	0.838475012971	0.83392764413	0.825306619138	0.664934264255	0.612250344898	0.637009323687	0.622194445545	0.658886157806	0.759184209222	0.760055845062	0.760795468099	0.654788053008	0.657486885134	0.769560122653	0.750230083829	0.761880394907	0.755876558952	0.744029776413	0.740890281308	0.757869555954	0.764566667245	0.808960427835	0.812630452514	0.789309290773	0.640253876836	0.646112739751	0.619260234078	0.713046139899	0.733909395726	0.70808460275	0.604257321547	0.611094507829	0.584787684738	0.610879831513	0.663865357676	0.683535403015	0.68021752374	0.655339358121	0.681325288644	0.628916561968	0.622625722046	0.621379447829	0.637093730533	0.643716724175	0.634396908751	0.691380478506	0.686598782237	0.737827631266	0.623673879886	0.660812866949	0.569487326319	0.621712293319	0.604870885017	0.657355358113	0.803780200534	0.828522226241	0.808499506738	0.718152371513	0.696126673414	0.752047288895	0.781081598794	0.801236898253	0.80081328439	0.799416498033	0.495578654078	0.52898728476	0.515597209397
