	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.0569472599252	0.048259430336	0.357183898652	0.368239760181	0.347571137657	0.40523763101	0.448219289781	0.444985808164	0.294196598477	0.289712589034	0.295795507051	0.805724688672	0.832713648953	0.420183998207	0.436940116266	0.388698558473	0.36166924489	0.343825771587	0.243572561462	0.288626185523	0.385158480597	0.242837992106	0.256449529749	0.251798109739	0.253237269033	0.412794671817	0.303530410598	0.312429446677	0.328735629118	0.332416254045	0.332037442064	0.41711915514	0.396298520338	0.409356649251	0.316536291909	0.289594522588	0.417266651497	0.260245840195	0.32842078193	0.252748347015	0.449668061482	0.44052202421	0.408074509153	0.375900507526	0.498203378534	0.552904313972	0.460053339812	0.456637125643	0.474859875092	0.454644949909	0.478163636184	0.451817359653	0.267634191063	0.525644898332	0.278782225162	0.46733510261	0.303029268498	0.387496624002	0.500649260864	0.563524372983	0.579538405125	0.440825920631	0.368774415248	0.310888094821	0.311290340076	0.300195441903	0.324308677138	0.300884918992	0.320111894783	0.311571255892	0.31200306785	0.343328440966	0.358166191608	0.373039370909	0.375278403502	0.269345079999	0.340082271215	0.409799398233	0.395777891007	0.51421277971	0.490540671756	0.480344230234	0.442291742912	0.424602461804	0.39714769529	0.387108260684	0.357323425005	0.346353392733	0.461486844253	0.564101582734	0.553631759493	0.301227796748	0.338837115915	0.303710672487	0.485119827794	0.469414428864	0.467720622685	0.308471187743	0.292052217915	0.312219203933	0.277461908963	0.326043204933	0.329502022968	0.28566819851	0.398876578682	0.371529708201	0.590251476062	0.344048548699	0.424997005806	0.429415893685	0.278111156657	0.285701663313	0.364562443533	0.431497280766	0.412740276406	0.355187930927	0.451291880198	0.387409118909	0.494322263437	0.492567188409	0.359224581546	0.396609648679	0.415344574446	0.780398937934	0.689746829322	0.864020614333	0.338187660699	0.266512115744	0.281631596111	0.380369779373	0.379634437362	0.362639383313	0.754263064679	0.732992686852	0.648038673028	0.336973975247	0.326283863215	0.337458835587	0.381310564441	0.795460015264	0.54271444409	0.673015092004	0.564991528872	0.574383022263	0.330749567698	0.313533835855	0.366232649441	0.315324302893	0.378772826812	0.541871017238	0.462016034717	0.387324496963	0.330806099136	0.477390313568	0.426860712799	0.453662858324	0.654228615717	0.588234080766	0.643525461169	0.660349047422	0.442198024042	0.459044164862	0.51011989327	0.335537865034	0.313482798832	0.310412519943
D7B	0.0569472599252	0.0	0.0549281761095	0.377004383609	0.379343887766	0.358857714629	0.408698139987	0.4485543392	0.444031967147	0.310157436422	0.298650683103	0.309166963728	0.789040349288	0.817693873195	0.429516578887	0.444630726824	0.397174054476	0.377250943359	0.346784536809	0.25847809844	0.291284803912	0.381822443209	0.251395207403	0.26306218271	0.251103340927	0.258844078411	0.424374544346	0.328358127273	0.337269088006	0.339085457857	0.348382612306	0.350482131103	0.39977197361	0.387426195459	0.40002445046	0.312321125051	0.279499434878	0.418720260971	0.271774295966	0.339003689529	0.265344186636	0.448231788775	0.445959932292	0.415727882905	0.370672000927	0.495027131574	0.544937535799	0.447697383132	0.447867965938	0.462549673171	0.438825092341	0.465608843451	0.433171231699	0.269758724994	0.518336999596	0.274269678973	0.461845725624	0.304892682858	0.386524145662	0.493899658669	0.554699052883	0.578758025919	0.437446127514	0.365410048435	0.323819446397	0.317027968193	0.311545520153	0.327903711817	0.312748491002	0.317470514316	0.319186311553	0.325236734638	0.349691018411	0.358072556037	0.379300662751	0.374124107353	0.269656873493	0.336284463369	0.409953908339	0.398306370729	0.504144821701	0.474699595512	0.469773771225	0.443806681823	0.427262265403	0.396729540109	0.39346619905	0.360553486769	0.363505879089	0.449140612916	0.5516284879	0.538386957668	0.307451234321	0.338879196652	0.312738902311	0.479744632373	0.464007862555	0.462866889951	0.320630256024	0.306929051441	0.32113090741	0.291176907415	0.341032820722	0.305105252894	0.28051960517	0.39492805416	0.36758212012	0.588488197419	0.358270835752	0.430070062529	0.432793291887	0.270385202348	0.284234706719	0.37498090632	0.439406340561	0.4214645687	0.356150846695	0.453796325123	0.388587367041	0.489266195034	0.479667459601	0.364948445857	0.40117107095	0.420048730175	0.779271003419	0.687516837249	0.86273272723	0.327200591831	0.257931086525	0.271326745238	0.380132270047	0.394550416016	0.374882199495	0.753243226488	0.729985667313	0.642858947437	0.335505754549	0.329606178209	0.331191529176	0.397706437257	0.795278914595	0.541705117525	0.674887231031	0.564223934196	0.571289308455	0.329201389144	0.299919362587	0.373207208719	0.330549445284	0.387782371872	0.553627340397	0.472521750814	0.400582318443	0.323649699843	0.468467939855	0.424035825334	0.444312432665	0.642806827638	0.573618930753	0.644314500619	0.657062252088	0.43294045542	0.446207598322	0.503956631733	0.346378686642	0.323900118806	0.321283461439
D7C	0.048259430336	0.0549281761095	0.0	0.345677549205	0.360758597581	0.350082361094	0.417179565968	0.456429202401	0.452135343892	0.313184652329	0.299543892698	0.314480796593	0.801974679629	0.829218298337	0.428775853878	0.441698724507	0.397472844814	0.368062014728	0.351854803765	0.241486280603	0.290547057618	0.379938272633	0.242531405441	0.244745398462	0.246138908136	0.23408406802	0.401896944345	0.298560386622	0.30740834746	0.334233903631	0.336913046445	0.335526659034	0.406785114817	0.38908251329	0.401554851292	0.322378622778	0.298716177164	0.418139691672	0.255623353107	0.323841325082	0.238952717816	0.447674103543	0.438700660485	0.405669927609	0.372726777101	0.491683648295	0.547558727774	0.448665098126	0.453345772802	0.4644568665	0.446745363587	0.467649854882	0.443275583455	0.247101934237	0.514677697629	0.254210120856	0.457450208222	0.283288529833	0.382882838092	0.511953679855	0.566169359185	0.584520265336	0.449676994786	0.37767250484	0.303618814722	0.313534773003	0.29885149185	0.329210103033	0.309637535987	0.324626916172	0.326821622811	0.3315225498	0.350661661578	0.366695881833	0.384665758612	0.381623051067	0.268260391109	0.336427756307	0.418410323256	0.402535692961	0.513399201503	0.487062803548	0.480406513574	0.443595601568	0.431015651232	0.401369677176	0.388657888475	0.35994787838	0.35987201124	0.454569338677	0.560790504956	0.550266148255	0.308184530358	0.343701391745	0.314174854047	0.489261730968	0.471743392421	0.471492414051	0.313368707389	0.293976118992	0.327165420123	0.296549140228	0.338784782298	0.332383910444	0.299886280279	0.394705927656	0.36853545493	0.5875982404	0.351194043857	0.427748314645	0.429650453778	0.284246818322	0.281063532789	0.372002276766	0.432241487097	0.421220846763	0.359202760457	0.450892019289	0.38228734793	0.494878343112	0.493004642733	0.36051638005	0.396650534036	0.41487029991	0.774630891733	0.684333058766	0.858049405112	0.335648117251	0.263812654606	0.281953418167	0.385476757775	0.377971117584	0.365552309496	0.749634052924	0.727086435414	0.640912274882	0.341997925525	0.334862127228	0.337044186257	0.394304462107	0.789760093962	0.536286204965	0.669392919381	0.557272217468	0.570201920399	0.335497324847	0.312115514755	0.357231419449	0.330276023707	0.373127357981	0.549238349695	0.467484289588	0.394191804832	0.329429942261	0.465378492119	0.42091565072	0.442950450576	0.651897371282	0.586425050441	0.645312317784	0.664634583433	0.438189325564	0.45072950674	0.507605528414	0.340015142937	0.317913837777	0.314968627592
E-BA-2016-1	0.357183898652	0.377004383609	0.345677549205	0.0	0.0649551753424	0.32947023556	0.50593270085	0.540749863272	0.539352048505	0.393953523646	0.374768650552	0.398809371067	0.893605588643	0.90389059108	0.526739900596	0.541904123564	0.49467485088	0.452755370954	0.44803453935	0.322240240484	0.400321144194	0.462096277033	0.332591589176	0.332009808348	0.339925331134	0.26562523983	0.152738395689	0.249196360652	0.249481481369	0.407213987382	0.402771784178	0.412869025788	0.533452578062	0.494415390638	0.481557802802	0.44446971864	0.436956202204	0.535541030496	0.308275602475	0.376202483599	0.288054176304	0.537753046446	0.526197182937	0.498148876021	0.557654651354	0.648894428759	0.702017310588	0.553753287885	0.536406023133	0.567897045315	0.547228639448	0.567739346407	0.548830807576	0.317141466522	0.6321218022	0.369991539194	0.579490934072	0.305475615626	0.505943044305	0.670297698288	0.707104866651	0.71406347212	0.563512553352	0.505455522859	0.250959907953	0.362453990402	0.282045699036	0.432481927077	0.422182842419	0.43658233053	0.469377065661	0.470502987047	0.494482489272	0.471430898264	0.477984240254	0.493374472758	0.391271434203	0.460313446913	0.522025798348	0.52413625151	0.610825605166	0.582492845868	0.582933034818	0.547425552518	0.536791930387	0.509245150994	0.494833968717	0.449679546557	0.454597637563	0.572688652039	0.664321039907	0.650300856651	0.412555360546	0.464599751813	0.439804602589	0.578016680851	0.563213687562	0.560843386425	0.410320195064	0.395775667957	0.46539683021	0.432037382192	0.479890288251	0.474904577036	0.439273023088	0.507867234953	0.466887462175	0.649148959269	0.474066006378	0.550559377626	0.544473774181	0.3958419417	0.384897674772	0.475632637689	0.507096827546	0.49784460214	0.492026440038	0.575846642673	0.492297735014	0.594712892029	0.576564511917	0.463976843335	0.504078715598	0.506955551556	0.864613322646	0.76785536111	0.937587658456	0.473002927971	0.390322254842	0.410972628495	0.503578070097	0.480756144021	0.492975520364	0.828434879665	0.817221786719	0.727693379749	0.451266548544	0.433824528378	0.441456656989	0.465335771625	0.839897201247	0.595716477882	0.746793635124	0.655554434002	0.677663997545	0.463628414703	0.435424410866	0.444097944473	0.411554845935	0.46958441661	0.622369219704	0.540264040156	0.476350154984	0.436661620585	0.567010983383	0.50883582973	0.545398105125	0.765639565456	0.726647752508	0.713638188849	0.726787326331	0.524033469562	0.556090172419	0.586340087782	0.49473248464	0.484082058711	0.474154815352
E-BA-2016-2	0.368239760181	0.379343887766	0.360758597581	0.0649551753424	0.0	0.346140453125	0.501541495146	0.51744595437	0.517807447022	0.364430178721	0.346477629992	0.371396688703	0.906245496973	0.918221723606	0.51181309449	0.547560238309	0.474737230326	0.446036740177	0.425725487787	0.334410153488	0.422181957703	0.481149293593	0.355738605594	0.35012058891	0.318850670974	0.281022741088	0.141969550182	0.246124799181	0.245465836923	0.418257378802	0.409383425546	0.427221294992	0.536277132853	0.497557250351	0.466511788114	0.453795910795	0.444671536933	0.558842824003	0.281643948559	0.394821704042	0.304552684812	0.507219069141	0.498693099686	0.47333713278	0.574943503696	0.6671465665	0.722043611663	0.56619058615	0.542058535146	0.583162205121	0.554372625003	0.582792981947	0.554665288855	0.331516245498	0.645255888259	0.386146585002	0.591939826263	0.321975107055	0.518391812585	0.668224329763	0.704760881214	0.717737867311	0.566400288479	0.507149834791	0.229841004754	0.34564845743	0.260807213605	0.434666418992	0.424099395337	0.436797610617	0.470398923925	0.473915708938	0.511511173998	0.465091824026	0.482025838695	0.501202827226	0.390240437218	0.473182958422	0.528201769137	0.534764824977	0.6124970916	0.585671576809	0.585874628445	0.564630579291	0.551149326222	0.523759423853	0.510270699281	0.460667584511	0.457033768143	0.572579953716	0.66562115439	0.651921239522	0.410947224631	0.466879048619	0.440564469253	0.578673483147	0.562367025872	0.558031776314	0.412907826395	0.396360492002	0.470191370742	0.434115019624	0.495730967201	0.458473156844	0.425935518221	0.522018175502	0.484308980864	0.669692244993	0.489915609754	0.567594705483	0.561320663451	0.360082913074	0.353685549573	0.485098179787	0.524537045595	0.498979912598	0.498549717549	0.591700457602	0.499833454809	0.600411985302	0.575002574284	0.480557568698	0.521635652737	0.527058862118	0.876597697532	0.78039012823	0.949849035924	0.48395143207	0.387779197247	0.409754337455	0.482183624505	0.481886456222	0.503376823053	0.838376087473	0.832801917142	0.739114440565	0.445745790648	0.431004696808	0.436665283938	0.463025658923	0.849857899004	0.593466845512	0.757554960964	0.66513954637	0.681655452872	0.458931493323	0.412752758206	0.44392140326	0.40959984409	0.467675731671	0.618105788927	0.53581340482	0.4722550124	0.422888722485	0.586046059815	0.509248916057	0.561831844895	0.771056711988	0.732876677762	0.730013122158	0.740974608739	0.508653992143	0.56484431021	0.574657220099	0.514991149554	0.503871773698	0.493914916688
E-BA-2016-3	0.347571137657	0.358857714629	0.350082361094	0.32947023556	0.346140453125	0.0	0.513187614481	0.552168505316	0.551628303982	0.296953061238	0.257055714714	0.280939894321	0.861622278192	0.885472176815	0.458550976906	0.486379785624	0.43375728743	0.457738096715	0.451373208297	0.292701211437	0.332080608474	0.452479747183	0.219564133501	0.288360620926	0.359960087055	0.323036930966	0.433729175659	0.204184562549	0.18875934035	0.22192101726	0.223046083652	0.22640589274	0.521364517855	0.504470168116	0.509316379219	0.336148575041	0.358158912735	0.44777866355	0.353114855074	0.289733337721	0.334476052517	0.567471143922	0.557252385704	0.528434929995	0.476843362268	0.572686792746	0.626987238156	0.529006658187	0.54162237832	0.535521829535	0.528442545977	0.538326953889	0.520560625426	0.368026376376	0.539199299899	0.374117908991	0.489189870826	0.367746304099	0.410246157476	0.617784159816	0.671728397679	0.675765767282	0.496209816237	0.426787020526	0.389685141796	0.349061432778	0.365903875223	0.381391669598	0.383850504564	0.371415511508	0.444270642387	0.431748181482	0.415237288129	0.450920082654	0.436491577889	0.4369127499	0.395202125978	0.397607351578	0.433929027825	0.458449268292	0.568296842984	0.540350404624	0.540409196117	0.463720806665	0.439481554495	0.410979156507	0.41822545814	0.394402888405	0.411113272907	0.543584507452	0.626985326505	0.618328679782	0.398321299574	0.416580253937	0.422458722444	0.521988613745	0.516083290063	0.501885546432	0.403699207779	0.396526219895	0.417668798604	0.404927427673	0.413019606635	0.423207359076	0.383461262742	0.317030845471	0.261480235696	0.532300721086	0.401592916831	0.439310168614	0.432838776104	0.389401995691	0.404367733246	0.356744274561	0.351402642259	0.403059332885	0.426937849383	0.479031549532	0.375999327324	0.535456229163	0.517153079753	0.390506392832	0.412996130635	0.417830730462	0.788567097525	0.691760401462	0.863481732749	0.389475503428	0.330787631568	0.349863553086	0.353868093226	0.32602569757	0.337830976993	0.748968514143	0.73995140654	0.645622217178	0.378540245371	0.325337687014	0.350407272092	0.392618927292	0.770211121552	0.519569114172	0.664409702845	0.565145890643	0.586740657954	0.412483391892	0.40197274975	0.423261018638	0.362975239699	0.42674995241	0.495424383054	0.452306214501	0.344939723762	0.415793513703	0.516319777291	0.522621573332	0.515987082543	0.705906649624	0.667437000982	0.556772629989	0.562333425475	0.535211598838	0.527713004501	0.596669469044	0.403166749431	0.40493483769	0.383833868713
E-BL-2016-1	0.40523763101	0.408698139987	0.417179565968	0.50593270085	0.501541495146	0.513187614481	0.0	0.123249668497	0.144507056566	0.449720615057	0.460370479131	0.445166915259	0.838816079045	0.845964671539	0.41076286386	0.427780952435	0.40009270986	0.455018653986	0.449781058467	0.380947200991	0.46512876839	0.511256335611	0.455832384472	0.421873332547	0.405627573589	0.409328629234	0.532253427279	0.455454171233	0.457782800534	0.467090720514	0.460324520085	0.470057318296	0.408412187079	0.3997734688	0.408383962905	0.483668359237	0.452859606129	0.552137694094	0.451359912272	0.488424288232	0.4409518963	0.590983197232	0.583874293167	0.556818412281	0.518982985879	0.633572360867	0.68259410036	0.433507301818	0.397536736095	0.442227133932	0.408096385752	0.434903592204	0.395792273566	0.489992019511	0.664022701037	0.48040069686	0.618714506389	0.487725549261	0.566898173836	0.461394668274	0.512407549167	0.545388111724	0.528416063271	0.493901807117	0.397962749231	0.339983520395	0.369192962593	0.379743515826	0.358355436585	0.371690557661	0.32983172129	0.342027254036	0.351723048151	0.285456152906	0.313921274854	0.339975481361	0.396814484957	0.43202391362	0.329143954063	0.309806206736	0.505860460047	0.491704830743	0.471585367172	0.424409341256	0.365510178703	0.362972048756	0.392353779318	0.361468769086	0.318052054001	0.456448062469	0.574118749876	0.546346970084	0.339423188457	0.358079085482	0.314728147904	0.438143313428	0.437544200547	0.437212337231	0.33161034218	0.35904555247	0.353474714281	0.357752167571	0.384909497503	0.47895547227	0.43417776613	0.463376070097	0.457297193074	0.644608198863	0.356221620306	0.430792219678	0.42598105116	0.396332406092	0.429772954444	0.390486376909	0.448265423838	0.416500747731	0.431492098265	0.512967869178	0.495082330218	0.557540504855	0.552174775148	0.362488755375	0.375928069318	0.426245975292	0.806192500086	0.706099446167	0.883478328819	0.460976416789	0.437979396406	0.422931451873	0.414792982647	0.428088357477	0.422329675269	0.809637635166	0.783455691376	0.713534681036	0.504684808231	0.472217750119	0.481534399395	0.557075620803	0.854399164796	0.686587787178	0.753028123288	0.664773597784	0.677698336029	0.504148380615	0.452539533091	0.560438212863	0.53460719014	0.598198243925	0.667604535099	0.622782316538	0.565981378838	0.447533530725	0.441046861494	0.385155711668	0.412190261254	0.713596400128	0.661040681916	0.67349075448	0.679614466451	0.393322871455	0.424400990001	0.439693496984	0.502393656763	0.496532569769	0.490094838621
E-BL-2016-2	0.448219289781	0.4485543392	0.456429202401	0.540749863272	0.51744595437	0.552168505316	0.123249668497	0.0	0.0561818376403	0.475254093903	0.485239556371	0.468382503596	0.846449253063	0.852289474381	0.449006242538	0.468829232275	0.435556160655	0.471549708665	0.453605127489	0.445399645787	0.507438962506	0.531943339055	0.495105278512	0.482154766937	0.434300067578	0.453284910076	0.538768889586	0.491559418488	0.493185117845	0.508755797583	0.503841826801	0.509761783435	0.461196249018	0.448108893928	0.452013902953	0.51948173424	0.486565054551	0.582570972984	0.475501694883	0.539941748635	0.464891580575	0.611514509428	0.609892482695	0.585669134012	0.560142241987	0.668799339055	0.710494766169	0.48502796347	0.420133226043	0.49412017073	0.434374859743	0.484453672376	0.449100063819	0.518371714814	0.692832425774	0.510245735944	0.653051612728	0.51310726332	0.603564989788	0.534652995285	0.580990688692	0.615533901968	0.555634633957	0.526656409316	0.405288865291	0.381908793257	0.388241133578	0.445169721954	0.423945750028	0.443295977113	0.38710441448	0.401293116074	0.417412622013	0.365182167244	0.396731863352	0.422083523357	0.435216326707	0.488843388949	0.421525484017	0.401869794626	0.539523624462	0.53948501044	0.524442901522	0.512608933911	0.458979072305	0.458108319268	0.48433376351	0.455138082322	0.408237510549	0.529755943037	0.608731042605	0.594367634207	0.407270838665	0.424217547799	0.387506529607	0.522781190185	0.521807228167	0.513512812685	0.415036730678	0.420560705825	0.418094014832	0.416214365885	0.445239544638	0.513382867082	0.479738848666	0.52239874615	0.513995971153	0.695756081158	0.415443662696	0.48637901108	0.493486257144	0.403803114771	0.444866194347	0.435724426847	0.504608341285	0.474790498265	0.469151945321	0.542553784078	0.531906108639	0.590776255995	0.590195470224	0.440740085388	0.460509568637	0.506549781733	0.806448702703	0.727326706593	0.883119256933	0.486595228902	0.473947224093	0.457719906066	0.457685542419	0.4724585396	0.489237651031	0.810183712955	0.783959501872	0.726720838985	0.535455967006	0.508434250834	0.516429249331	0.592713046497	0.86461823214	0.7140393645	0.770949120728	0.685551301978	0.694297927842	0.525538882203	0.469356860864	0.586217537699	0.56881818299	0.61848136602	0.697785512429	0.65732761046	0.600412985177	0.472239078647	0.494513878851	0.431763201485	0.463831797675	0.731360684431	0.686122681672	0.699642325286	0.70673666094	0.423360859732	0.477757484493	0.449727268761	0.540172937718	0.534468989311	0.527973496738
E-BL-2016-3	0.444985808164	0.444031967147	0.452135343892	0.539352048505	0.517807447022	0.551628303982	0.144507056566	0.0561818376403	0.0	0.475129377888	0.484485176067	0.467694270724	0.845410164563	0.849963253434	0.457275589008	0.475367905222	0.444685807753	0.472307176619	0.456353960645	0.445207505086	0.506933385335	0.53200510247	0.49535944589	0.482130373698	0.433551583744	0.451868284117	0.538214554872	0.492932961957	0.494199237076	0.507776745062	0.502236655386	0.509344127634	0.462420790823	0.449231826308	0.452270065353	0.519528824339	0.486920369367	0.582043871713	0.473910417222	0.536129832203	0.465583403713	0.612528161554	0.611678122089	0.587768518841	0.554519236686	0.663072319059	0.706032452864	0.47931955914	0.41895278071	0.487739292446	0.431788416637	0.484961475473	0.447708801985	0.515471441955	0.695272915343	0.506286039751	0.655138058152	0.511651995498	0.60524302954	0.544160948534	0.597104995914	0.622607496379	0.553028842073	0.524907134915	0.413880070322	0.393580158597	0.406407802889	0.463777353037	0.440009686361	0.458992738883	0.401346997219	0.414956373235	0.433760285315	0.377441123994	0.411192334077	0.431797555754	0.448393039954	0.503777341888	0.427702125609	0.407649147602	0.567681636431	0.565356039852	0.549858662641	0.521875557278	0.465999422422	0.466848837407	0.501603437081	0.468617714407	0.421503993146	0.541704319921	0.61708957667	0.60361044383	0.429650488537	0.440813860218	0.41405818107	0.536378500834	0.530803327583	0.522384886509	0.439555804632	0.443095113348	0.431254451229	0.431816703584	0.459187723953	0.512886858451	0.478852596358	0.521434592247	0.513858111389	0.694221197571	0.43635171937	0.50674650361	0.520650161593	0.40519591858	0.445390546756	0.449179810521	0.520550663219	0.493080930855	0.488471456256	0.557152787143	0.544858639548	0.598140221718	0.598159565972	0.462481648842	0.481339043272	0.523170557605	0.799680547937	0.725739422081	0.877237262072	0.487017109556	0.474345424996	0.456676915028	0.453809244221	0.471024610363	0.482930858505	0.807817131375	0.780708570258	0.727441720722	0.537102457379	0.507689372377	0.516760991012	0.592943005472	0.864721326858	0.716613386208	0.771250468293	0.687786416404	0.696055356905	0.526180477586	0.470372191743	0.589611033197	0.570314241051	0.620065626104	0.700408027485	0.659983806681	0.603009105114	0.472028006456	0.492546289236	0.439135123518	0.463354387705	0.729366758999	0.68278733075	0.697324800196	0.705216192221	0.430232495636	0.47599609826	0.461466627513	0.536963648893	0.531126952922	0.524684519606
E-BP-2016-1	0.294196598477	0.310157436422	0.313184652329	0.393953523646	0.364430178721	0.296953061238	0.449720615057	0.475254093903	0.475129377888	0.0	0.104405673188	0.0471577905526	0.84430160793	0.879533236132	0.391443571082	0.428843425802	0.364123978992	0.29167786106	0.277427887788	0.243110311822	0.199170518697	0.380424973042	0.193970530227	0.296944004455	0.263654203236	0.289588542822	0.477699192731	0.271443738877	0.269162224203	0.192809044237	0.197030367896	0.197986028822	0.475035906362	0.44317153143	0.432739140926	0.22705850579	0.246929752164	0.350318256228	0.235579840342	0.323914691456	0.274473997272	0.518471925388	0.513904728781	0.484924019401	0.49335353922	0.591625193767	0.648714497509	0.515066150295	0.478950302748	0.525137104375	0.492426958578	0.52599647498	0.492505987942	0.448621464372	0.5781016869	0.445695766746	0.527913527737	0.451811518111	0.453104046191	0.563670350896	0.626662453141	0.640688798556	0.492179957179	0.417102098245	0.374510085431	0.302488455765	0.330833188265	0.369573885462	0.344307602377	0.355004280185	0.359576453827	0.348317238119	0.396068014053	0.374749664833	0.375334123564	0.407515656554	0.376655875639	0.436110359762	0.410905537655	0.432599222229	0.542808543635	0.529500500408	0.514038091963	0.473463970358	0.43618793026	0.414479702644	0.428337295466	0.381821180967	0.335867387997	0.525531281088	0.614842808008	0.596802323703	0.339857843889	0.366122511261	0.372095896422	0.507521530059	0.503964528013	0.484755031944	0.362237284354	0.35526303681	0.343832670739	0.32690265999	0.371965612794	0.37270502217	0.306050851614	0.335818007821	0.304698922375	0.570879695821	0.350837670328	0.448258324911	0.4491886971	0.337404256591	0.351655795809	0.316182600219	0.370640498532	0.342865036992	0.398842235729	0.48739003055	0.383045604902	0.513311995094	0.501423196497	0.386693794847	0.429099444558	0.442902149141	0.824415384914	0.72631486743	0.906938889189	0.409972264296	0.337760528234	0.346942296629	0.284368615831	0.28822808709	0.28965829427	0.787855794838	0.779356898008	0.677319668661	0.329906263953	0.288733760125	0.343096673142	0.356823783993	0.800181892483	0.563213289066	0.684832415517	0.581822760131	0.591192887299	0.366084105682	0.360864816064	0.426339457383	0.327179841458	0.428929402305	0.485861463924	0.45650402297	0.34260389257	0.37368204914	0.530663167029	0.461524353018	0.50463007162	0.693888595432	0.627883822535	0.613157863155	0.634128433851	0.461630143386	0.506134212227	0.524489439696	0.428511629757	0.418761138087	0.404844801035
