	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.0757581000599	0.0704405351478	0.362424913306	0.3767108361	0.341046727642	0.415222467635	0.450746604397	0.447018585909	0.309909967021	0.286989156085	0.295993481829	0.780969258708	0.850931753638	0.423121770226	0.433826459486	0.394615549927	0.36087680221	0.344619542534	0.239063284119	0.281004460449	0.366160227511	0.256453244262	0.258574207612	0.271248546574	0.254992954744	0.423695204134	0.311725180428	0.32135763602	0.338380886771	0.335076269125	0.323160724265	0.413067399308	0.410609295541	0.408115797121	0.299696920633	0.288478161857	0.419108519093	0.264385414774	0.33211110032	0.252706986034	0.450948796967	0.439515740219	0.435421723675	0.36230531904	0.482959641498	0.564258850141	0.452074033026	0.460833499332	0.474562511807	0.459697421405	0.47271225422	0.459387434621	0.269043074448	0.512371661107	0.274708825366	0.440921824049	0.297153388137	0.378342417325	0.48991494029	0.550349349623	0.58597964229	0.422970464212	0.36330117137	0.323839624816	0.315982602608	0.318473144544	0.32108124598	0.306653821693	0.322767271635	0.322300239296	0.315224288086	0.336757957699	0.361372386655	0.383407054981	0.370829134699	0.277126442321	0.326866334402	0.408269395881	0.402503350536	0.523117700137	0.489759289299	0.489861450614	0.429751097672	0.416135507362	0.400289873946	0.380908300355	0.359017544809	0.353930389419	0.466940748389	0.5651992782	0.553156194215	0.304085647126	0.352260988395	0.304745266939	0.481088309608	0.467276520633	0.475453259278	0.315437341174	0.304864409634	0.313910766993	0.289020422395	0.309000196078	0.327620567509	0.291751498261	0.396421158157	0.365724163271	0.563724357779	0.344305206634	0.42497418163	0.43191355834	0.296417713287	0.298270257549	0.368063851781	0.431567313542	0.42022060553	0.37352701841	0.459333074419	0.380216365205	0.506384832894	0.502115279493	0.353560866752	0.392971384119	0.409361511679	0.782733170831	0.705957153424	0.860285194675	0.340960792659	0.268610784806	0.286604417838	0.374872121298	0.412054524535	0.364677940019	0.750556828042	0.740183749428	0.654609857454	0.319198486161	0.329422112645	0.316234370763	0.384995403194	0.784549253354	0.559823517248	0.68129447104	0.549000617589	0.57286953089	0.327408361224	0.320000156091	0.37162113068	0.319555292059	0.392336879378	0.559924059428	0.472889692618	0.370839451961	0.333354948991	0.471578840123	0.432241436928	0.447288013904	0.663183220981	0.574456330639	0.631092041857	0.651762582002	0.44448485072	0.461762015454	0.512049773539	0.328582875419	0.290520907643	0.286302690996
D7B	0.0757581000599	0.0	0.0893265100201	0.395216729495	0.396509804808	0.364385728337	0.407434877163	0.446731723789	0.441997961849	0.333623949261	0.300901806611	0.312932813155	0.76428174898	0.836094494597	0.434434682416	0.452397299205	0.408514673049	0.385791392367	0.34428869291	0.266603227239	0.298358536553	0.36667758479	0.275089334336	0.276112583407	0.269335920792	0.272568711799	0.442098201781	0.346412890364	0.355316527166	0.355485504421	0.35827134803	0.355762783332	0.403311732223	0.399714136175	0.398994602906	0.299857140664	0.278322733479	0.436234473399	0.284712599224	0.34755099142	0.277091179814	0.449593366992	0.443436524419	0.443875188734	0.355373390507	0.494758541094	0.561977548801	0.439886586163	0.451521524146	0.464054838294	0.441315794484	0.460717981211	0.44077785966	0.281375207158	0.51745024108	0.281450716134	0.447591024356	0.307755695652	0.392510379168	0.479403366285	0.539118837974	0.581169609459	0.42680202905	0.368025588669	0.337303808734	0.320334717968	0.33685760509	0.325526363147	0.319393455804	0.321020929214	0.328156896806	0.331517893735	0.346063403332	0.356181233504	0.384786146029	0.360534609827	0.273281973095	0.320245141296	0.404076049543	0.403939514169	0.513316665262	0.468939483811	0.474746388225	0.434168196826	0.415097709859	0.404396302132	0.39246819232	0.366405648389	0.374859828108	0.44789961142	0.54539738788	0.537799239799	0.306028366363	0.360433179392	0.309649880683	0.474047616565	0.46005152408	0.474688575105	0.3283410759	0.321842072408	0.323526858146	0.307706259703	0.323054758728	0.298946395289	0.288025852179	0.401270700879	0.373117615282	0.570974988619	0.365031230362	0.436907969962	0.439517194436	0.281887986199	0.288334773964	0.384360309384	0.44706128775	0.433489277573	0.376737205788	0.472514477903	0.395896006298	0.502854485164	0.4848801679	0.367109485869	0.404323543432	0.418271112535	0.784789423543	0.708899515061	0.862996291381	0.332693572862	0.259460084522	0.274744516477	0.378890462633	0.422891857228	0.383096568595	0.759213180672	0.747641543364	0.662125162234	0.321450559305	0.342570877012	0.316450656917	0.405582929851	0.795736207021	0.568710814072	0.691993272899	0.561994879696	0.577414016553	0.32500224041	0.306721353522	0.382425497026	0.339512772506	0.403173771456	0.580333593453	0.489752137517	0.393437793319	0.326462472852	0.46783156311	0.428789630777	0.436809351339	0.654385810289	0.563574531412	0.639824028159	0.655367587779	0.43473033233	0.45124029526	0.505418399916	0.354597631001	0.317813649954	0.314462281269
D7C	0.0704405351478	0.0893265100201	0.0	0.351895512113	0.367355740396	0.334847157731	0.432343904374	0.468271790032	0.463222915585	0.335985580204	0.301803802712	0.319177234038	0.770007659296	0.839502905597	0.435928980617	0.450305851469	0.409584552487	0.375422615393	0.357940044097	0.239845741722	0.282312854816	0.3579759527	0.24239227223	0.242835091621	0.268066383543	0.239758013847	0.41130387362	0.309970273863	0.319606404223	0.348699053739	0.348046920285	0.334483536212	0.410125152027	0.407016007816	0.40373522284	0.305962108304	0.293649689651	0.416395085995	0.259464339981	0.319941878106	0.242204403165	0.456676736274	0.435537278333	0.429859042501	0.361611643188	0.471044105843	0.555434401684	0.434826349419	0.464123229463	0.461334881875	0.449463309102	0.45979620159	0.446655344571	0.239607822375	0.49560773167	0.246651399478	0.424682519252	0.269313135485	0.36726173323	0.500561326482	0.545303228117	0.584824483121	0.422086243378	0.362017334522	0.314887969786	0.31851711233	0.31570299555	0.315567419321	0.315290980976	0.319706247458	0.339858354787	0.346985392629	0.347807920956	0.376900589429	0.401702847165	0.372480676661	0.272142442897	0.316853009067	0.414445351871	0.406239521597	0.513403627381	0.476945588559	0.479387425068	0.423100347041	0.416850598909	0.399555391696	0.375403864994	0.357972745084	0.374368959369	0.451825490569	0.552827386911	0.542200526105	0.309604898331	0.358052508352	0.317044658024	0.478190430599	0.461098712466	0.471404177589	0.319745674966	0.305582193341	0.328495538275	0.315689496037	0.318895978632	0.332443224686	0.315583101766	0.388472524704	0.359381770696	0.554719420141	0.355053070952	0.422400318845	0.424735675988	0.303585603397	0.295166083895	0.381671757412	0.423983349533	0.429452650198	0.376939875594	0.456605448994	0.371429455383	0.499055227918	0.491098766302	0.353516727448	0.386640250694	0.400446201755	0.769391243809	0.694365325033	0.847077631166	0.334938965894	0.261856484227	0.287318679742	0.385244376654	0.419891499545	0.377195795493	0.738800793655	0.728613397236	0.640459102722	0.320450901811	0.333616738336	0.310898165626	0.391201866091	0.773138321437	0.54772660597	0.673274772886	0.536267769197	0.565533385931	0.335524189777	0.317631793826	0.354651981649	0.330594044188	0.37659958468	0.562822399812	0.473035309799	0.372084977884	0.335040733293	0.455004044411	0.42956012607	0.435058881375	0.650905228824	0.570186834106	0.626057626826	0.647737295225	0.446842605459	0.448244408848	0.516999462885	0.328342343948	0.291803007305	0.287412998046
E-BA-2016-1	0.362424913306	0.395216729495	0.351895512113	0.0	0.0746668355834	0.331527899893	0.507993419438	0.538384584664	0.536499893392	0.405022054484	0.375394162716	0.395238677496	0.874715160155	0.9237940014	0.520688140809	0.538895228289	0.496607293221	0.454076604004	0.443372517514	0.314501710378	0.389639656253	0.442948215505	0.351490155626	0.327357876818	0.344613490542	0.264523831241	0.155115470946	0.235680246274	0.257162699316	0.426658913192	0.40130972325	0.404736528558	0.524194017396	0.510907357741	0.472245069853	0.435456982007	0.4326555676	0.547840404993	0.313704733336	0.397960781249	0.299102407977	0.544192016588	0.520978815612	0.513198754136	0.551151277421	0.64536905477	0.717225089245	0.543757529619	0.536137353759	0.569810422538	0.553419385779	0.566283486034	0.556203374807	0.321476187323	0.626860236099	0.36677371646	0.559893663942	0.294848040166	0.507575838175	0.661195347009	0.692967392401	0.720523273546	0.552347719652	0.500931554485	0.252960155634	0.362684958343	0.284327765478	0.414409609618	0.424006677155	0.434896059644	0.467054662711	0.472040403334	0.494094352728	0.462611583281	0.478579609367	0.482709746478	0.391349092346	0.451754117191	0.52096212083	0.523691849023	0.610057018034	0.584632765954	0.582319309	0.539144615089	0.533608267676	0.515737170243	0.485020076882	0.457858456676	0.464568015732	0.575762923686	0.663970505435	0.64596401428	0.406563185481	0.465811644829	0.438329443378	0.571347632372	0.563022183939	0.561559229326	0.411594954258	0.389758265127	0.463706570779	0.43968732721	0.46907967166	0.473129315065	0.445397744247	0.509921394757	0.466150870187	0.634728193693	0.471457657979	0.555231801574	0.556282707068	0.406268725525	0.386506874556	0.465516791737	0.51477700396	0.496302101208	0.513128422452	0.586807807904	0.496594166268	0.603471993926	0.592006050867	0.468155532987	0.503170582941	0.502612817287	0.87287381051	0.795052772616	0.940985757148	0.491042669899	0.395631626394	0.410999383169	0.496302371497	0.497826701622	0.485883062582	0.83275838109	0.832779712894	0.738114467637	0.447109070503	0.441996778913	0.434025954136	0.471792288684	0.851596747339	0.628315723279	0.762077310231	0.653492008827	0.696767469833	0.463268006438	0.438263841555	0.452212704889	0.418627018271	0.468704769353	0.650382112811	0.559462468341	0.471065309068	0.434269295017	0.569769826866	0.508141698179	0.546177537259	0.777419946018	0.72532140733	0.707471994347	0.718118932773	0.524592823701	0.55931506977	0.585771088675	0.501608304992	0.473532582448	0.466390300256
E-BA-2016-2	0.3767108361	0.396509804808	0.367355740396	0.0746668355834	0.0	0.338717760411	0.50248010824	0.516282480536	0.517690189897	0.365338615366	0.340054156393	0.356744087794	0.885452249804	0.940447381105	0.508361638343	0.547265995923	0.480314041282	0.454060951505	0.416736411042	0.316718086488	0.405448769521	0.462656768066	0.366887637805	0.33958734995	0.319409694441	0.272016164975	0.148493747587	0.224018491804	0.24350340576	0.433278643399	0.402089940422	0.418440131125	0.529959176129	0.514598113552	0.467216545672	0.436997900015	0.434364472397	0.566384949274	0.281603441768	0.414528901552	0.314633650679	0.516194866592	0.490169117188	0.489037539033	0.565836851677	0.663433763424	0.733909008752	0.560319092886	0.540553080249	0.587868580462	0.561924417881	0.583377374992	0.564535916908	0.338594363798	0.636180778345	0.383637419206	0.568440107637	0.312851930563	0.514670714596	0.659557981324	0.691073643981	0.724290477289	0.556339447651	0.500626879524	0.229051369908	0.346671801158	0.262431869062	0.419396719629	0.429191599148	0.436474517983	0.467035251615	0.477709072572	0.509810561663	0.45694528602	0.480837942206	0.491086677633	0.391161924584	0.465973481053	0.528811078919	0.538996889019	0.611744254645	0.585166872639	0.586850223388	0.55834835904	0.547143519566	0.530810243069	0.500512213662	0.468514844879	0.474225458159	0.574676853141	0.665467560693	0.64780899984	0.406565242793	0.472381907528	0.438912871418	0.573179978036	0.563895449865	0.56522884431	0.418953655185	0.388988853284	0.471477497632	0.442191480828	0.481966469955	0.448009746944	0.428552931556	0.518564957504	0.478430917745	0.645155523453	0.483800857371	0.569400000175	0.572571933747	0.369381255496	0.356609439863	0.474128596252	0.530459978295	0.5008000069	0.511921185117	0.602134174547	0.497060002278	0.602027792105	0.590418151718	0.485088879427	0.523239993657	0.524447630274	0.886195885853	0.800690025709	0.953965801746	0.493066654101	0.385088263571	0.409919341998	0.475608387108	0.481390616483	0.494090936953	0.836952798026	0.8410968935	0.743891832705	0.434899478786	0.434578220766	0.42135121967	0.462245191641	0.852021104841	0.61967880053	0.761052326779	0.65843745037	0.688543409633	0.453144933104	0.411095930462	0.446335385484	0.408236131683	0.459256064356	0.639600934067	0.548032316176	0.459827354121	0.414032564364	0.590887797295	0.514256152435	0.561527131823	0.780949657624	0.7275462356	0.722776387569	0.731749349737	0.513365265258	0.574095663851	0.571884390581	0.520362281905	0.492690858999	0.483521702777
E-BA-2016-3	0.341046727642	0.364385728337	0.334847157731	0.331527899893	0.338717760411	0.0	0.519048814162	0.549935091054	0.549188790002	0.288331539841	0.258604867083	0.280789274308	0.848364824221	0.908094903232	0.456318590897	0.490726580886	0.443649256831	0.455370213798	0.443929568517	0.299420257805	0.326662506334	0.443244276888	0.218420919856	0.295059931194	0.367285147116	0.324355952831	0.429401463755	0.217293216047	0.197078973967	0.237066814153	0.226451441837	0.222187582328	0.526243745955	0.519133711217	0.502102479097	0.340118866864	0.348957381007	0.461346367374	0.342723617399	0.298621373731	0.335117331411	0.565885762695	0.550315608218	0.542118230538	0.473544486183	0.573450574246	0.642868788344	0.526827470177	0.544229101727	0.546462606982	0.533014961844	0.544233115754	0.533440210458	0.370508166762	0.540466837465	0.372628895293	0.474334190274	0.362773420653	0.417775192176	0.617028667019	0.663247232123	0.688901830451	0.486129582992	0.424357155809	0.386619676616	0.34398444457	0.364142054484	0.366768076715	0.379541035925	0.375931258551	0.445834128078	0.432952475328	0.418280322024	0.454393516106	0.446157096262	0.433645087215	0.39138079562	0.39157942193	0.43832020676	0.460843036483	0.572488401277	0.544378835409	0.54562917958	0.451750659232	0.445688187598	0.420450615897	0.413762104561	0.396690141097	0.419328972014	0.551763167486	0.629776489523	0.616655342621	0.39266065609	0.418449697916	0.421727322343	0.517846768808	0.518123052256	0.506916362274	0.40242167675	0.389683674759	0.41706588074	0.416771807997	0.410807454252	0.422718479916	0.387298511464	0.328057134603	0.259768607686	0.523185660017	0.408443002905	0.450890558677	0.451662824065	0.394154281995	0.401757497706	0.354892857678	0.357462991463	0.404057458767	0.457797904873	0.499216892827	0.380880490821	0.548121829672	0.544901820643	0.388594259259	0.419700171509	0.417822917147	0.802994736897	0.717136729701	0.872735644678	0.402292511221	0.335694789375	0.35489245717	0.35036771564	0.349603964837	0.329594959723	0.75603570407	0.756819649444	0.659549326439	0.378851476843	0.329433065002	0.34860404513	0.385716183022	0.775109210421	0.546982777549	0.679078376852	0.569222944146	0.60438267198	0.414450039526	0.400215195602	0.425451426976	0.349755145713	0.424537873692	0.531591254603	0.467730421841	0.339456409791	0.406066790838	0.526841252654	0.52388299621	0.52608766528	0.720839116255	0.666845245018	0.553698575647	0.55829951802	0.536025983312	0.536340860648	0.595996664702	0.410092685798	0.398157268198	0.384147558194
E-BL-2016-1	0.415222467635	0.407434877163	0.432343904374	0.507993419438	0.50248010824	0.519048814162	0.0	0.122525164494	0.132384548737	0.461098183263	0.463337568216	0.44882755516	0.825344054262	0.865213949889	0.410168090088	0.434690471449	0.403148190868	0.46188958677	0.443235814368	0.3868263821	0.474698333588	0.501945561761	0.471341395876	0.430032790134	0.408893937388	0.410068533083	0.53499627098	0.4579934482	0.461148111332	0.477610193886	0.465232348487	0.478436754714	0.412543823445	0.419614068876	0.410947070372	0.478161360344	0.459009365731	0.572097754112	0.448830094907	0.502458854815	0.444459213515	0.58393439919	0.576084760583	0.575255366899	0.511805351035	0.631604878942	0.69124171029	0.433370245804	0.404215776763	0.455141605864	0.419689875548	0.442385132977	0.406766534731	0.500909241045	0.664029969595	0.490509979207	0.610859125798	0.488086724509	0.572751812958	0.454700411126	0.504391446149	0.560238744236	0.522776014641	0.498650633927	0.400418093338	0.34762320853	0.378816736934	0.390040852219	0.370525766823	0.378983627729	0.342790022257	0.361295887585	0.361538533576	0.283799859909	0.322914958715	0.344191944336	0.406200128854	0.436870568766	0.336535968846	0.315445245859	0.514363640383	0.494114963657	0.478051291	0.430992190806	0.365409406051	0.381310876845	0.409291375459	0.371805053549	0.32736900944	0.45949307868	0.580080621103	0.552940024852	0.346081337657	0.381208640202	0.326747558111	0.44375970047	0.443503332871	0.457137338874	0.345149737592	0.386166004824	0.363482984165	0.371237100225	0.389713812026	0.470149756598	0.441327786874	0.468261124388	0.460017513886	0.645592443054	0.374052721346	0.453422725807	0.44239730862	0.404638810603	0.436948429952	0.388045893184	0.462249738897	0.430596493995	0.443282468084	0.533871407702	0.506582265929	0.57240461624	0.569313555991	0.376602501883	0.385206841722	0.432836203855	0.812711107388	0.722215561298	0.88378580368	0.470738617075	0.43998013231	0.423201354774	0.416834131893	0.431170837398	0.423667023769	0.812855909892	0.792923648056	0.724194196957	0.503637804832	0.479395765977	0.466003699885	0.572765040926	0.85883117761	0.7115064615	0.766127941885	0.660594086041	0.689620802813	0.504296855368	0.453664277893	0.565356587867	0.54065185162	0.605455157423	0.697474621641	0.645774137763	0.565465797557	0.447623062902	0.447389910507	0.39373601906	0.411447197491	0.727387403365	0.656748408994	0.67074936077	0.684476515726	0.394033213546	0.440855191086	0.446176914844	0.513038212491	0.503549067531	0.495997278358
E-BL-2016-2	0.450746604397	0.446731723789	0.468271790032	0.538384584664	0.516282480536	0.549935091054	0.122525164494	0.0	0.0604146888094	0.481053198153	0.488917396327	0.472564258313	0.825737527656	0.866893698524	0.44611292426	0.464546749131	0.428406207758	0.472813377187	0.454361807243	0.447919756266	0.505287488625	0.515242547613	0.504445931686	0.486859604486	0.439479684034	0.450235835004	0.541394181062	0.486475674952	0.490569945746	0.514330694985	0.500746096219	0.511427245212	0.46838133659	0.471065735686	0.460996112617	0.50680829121	0.485933199697	0.594356887642	0.471800626854	0.545820771268	0.4638674862	0.612639329765	0.603623722785	0.603703218424	0.552435491874	0.665121263537	0.717889898711	0.480214598853	0.419204447316	0.506878303914	0.44394829153	0.489830756705	0.4612180553	0.522494991819	0.6858692083	0.512761529871	0.63803657811	0.507268762751	0.600851573159	0.528140021424	0.570046253944	0.62682399119	0.544127666211	0.525404024406	0.40211597674	0.391012387214	0.392433466661	0.444802561379	0.426585453486	0.441767291559	0.388133578485	0.405004307161	0.415116172453	0.351925596862	0.39889911382	0.420636785356	0.441412994659	0.488433544207	0.425875927441	0.405677965505	0.54585185879	0.538171124739	0.529712111282	0.512979048876	0.453929702868	0.468384863263	0.494333529301	0.458055723104	0.4153625857	0.528706000924	0.615124028484	0.599796844735	0.413163087348	0.435136598463	0.398443516396	0.528077028012	0.527257625971	0.534231200975	0.419917117204	0.432814883049	0.416168796867	0.415500198387	0.438036854667	0.50539333007	0.479923376319	0.52651240564	0.509750900345	0.690211102132	0.425708292315	0.500256033765	0.505386284348	0.414747624725	0.453189075036	0.428277618894	0.507976636892	0.483021762723	0.467924989743	0.548451721407	0.533838047487	0.594254604003	0.593003389335	0.448628570021	0.458176407475	0.514235215086	0.811545186794	0.749714559217	0.881128351885	0.492925932469	0.47477608035	0.458005775434	0.472073436782	0.482329180624	0.494714033841	0.807627412211	0.78864058614	0.734838885756	0.529564428962	0.511390030905	0.502590678817	0.600457989453	0.863157338361	0.729187256698	0.775885578496	0.676036524015	0.695064771275	0.522973001237	0.46781929053	0.58757215283	0.568043949728	0.620093566359	0.719402411466	0.671987662412	0.593334014294	0.470085797278	0.499656554997	0.439235808252	0.459430736103	0.737848873515	0.673589573521	0.692291904342	0.705478233154	0.429106512972	0.493766462213	0.456082249109	0.543743716867	0.534317641218	0.526736148152
E-BL-2016-3	0.447018585909	0.441997961849	0.463222915585	0.536499893392	0.517690189897	0.549188790002	0.132384548737	0.0604146888094	0.0	0.480202047434	0.486083670874	0.47031833852	0.828227195074	0.866529327031	0.454865915991	0.475239733577	0.44104333123	0.47561099496	0.454349615446	0.442469967406	0.505886738211	0.517120091679	0.504083697259	0.482614710219	0.437599727442	0.44737874859	0.539690791693	0.48760366606	0.490560151294	0.512118593593	0.498556647724	0.510477936422	0.458617990035	0.46118288542	0.454207586898	0.506207715502	0.486977448549	0.593469456502	0.469703535784	0.539604340147	0.464262009039	0.608706011314	0.599552733367	0.601457573455	0.546131226878	0.658778425011	0.712055523931	0.474694846724	0.415493932603	0.494028521131	0.438207537892	0.482302215253	0.452342696134	0.519235482957	0.688208596351	0.508354946742	0.640074254329	0.5039693731	0.602354787135	0.537432432886	0.584808204112	0.63224263481	0.543126093114	0.524753274138	0.411229735534	0.398111702238	0.41543825333	0.46190228967	0.444964721266	0.45993002687	0.405364132364	0.422465709359	0.433284105343	0.363690781388	0.405371130154	0.42846270148	0.453524779559	0.499884706466	0.42756585836	0.402716237123	0.571261494147	0.561618436768	0.550838177115	0.518745702653	0.453902204183	0.473616066494	0.505799518522	0.4689743909	0.422430408372	0.534855554082	0.621359212507	0.608924362717	0.429646023703	0.455007311279	0.42286600291	0.532511938708	0.528079330744	0.533479097132	0.442976574725	0.456652144661	0.429410632686	0.436186155028	0.454601890076	0.499265826252	0.47702924799	0.519897476497	0.505829461521	0.685436097656	0.444587599987	0.520686288859	0.528109520773	0.414876336416	0.452129275323	0.440657934564	0.520939985072	0.499993255457	0.491522415035	0.564270994598	0.547083952129	0.603862322382	0.605702145383	0.469264477595	0.478682724789	0.526657435678	0.803561634019	0.739181629643	0.87586600526	0.491999230473	0.474546354931	0.45556910558	0.458025639489	0.470962689639	0.482350455816	0.807185125644	0.786112404797	0.736664712534	0.529385268267	0.509865928452	0.50090183678	0.601793173828	0.865325846109	0.732057748205	0.778656347304	0.678355224363	0.696962961617	0.52328119938	0.467542669356	0.591001724222	0.569789439577	0.622235636614	0.722273476114	0.674652925486	0.595846903548	0.467504147721	0.487260164224	0.437660631362	0.45116929954	0.73836018248	0.673450542991	0.690329283241	0.70549286155	0.42445393099	0.479735229368	0.460883739344	0.540245067111	0.529696369644	0.522841262696
E-BP-2016-1	0.309909967021	0.333623949261	0.335985580204	0.405022054484	0.365338615366	0.288331539841	0.461098183263	0.481053198153	0.480202047434	0.0	0.115723617033	0.0622473819031	0.831892812647	0.905505139198	0.39420295712	0.437867996413	0.37233775053	0.30615177723	0.272779827869	0.256761611356	0.20927181457	0.364515484567	0.222776266251	0.310884669601	0.281030246227	0.297927695476	0.484590331801	0.281837105457	0.274867353364	0.204930698809	0.193373755286	0.193712721438	0.47837770801	0.464001494033	0.438974069269	0.242716676456	0.259934814084	0.381415334065	0.230714730957	0.337587860813	0.281783461224	0.528077700043	0.510961742373	0.50966318886	0.496014777373	0.599038654487	0.672149833808	0.515538518181	0.482853509212	0.535735501866	0.503829896714	0.530398388052	0.506413556535	0.458385923812	0.582167792107	0.4550753426	0.52181135466	0.457654490732	0.461982826802	0.565133812917	0.62454445467	0.65488038253	0.482188383847	0.417977687088	0.376466289742	0.304528480178	0.339903971091	0.370823806284	0.356404243885	0.359986934564	0.369038376084	0.352879351533	0.399621872499	0.390315633687	0.38618399429	0.408670912265	0.389846698907	0.439094443702	0.416215996721	0.446755208526	0.550488347958	0.531608782069	0.527115074331	0.463282947698	0.448040460233	0.431519996478	0.428756692357	0.390972799796	0.360303813191	0.535135603595	0.625402790149	0.599858906979	0.351714547197	0.385364783938	0.386716453281	0.50797447045	0.510384857377	0.501470023944	0.377349131095	0.357208538015	0.355316790572	0.33633887969	0.36955206958	0.381262332633	0.308240778649	0.339948984279	0.299713608938	0.558814422442	0.35202383055	0.460221117035	0.47113340294	0.362383176104	0.367301101752	0.313040196875	0.376220192715	0.354499639956	0.425929293998	0.512421558869	0.389875433752	0.524808561003	0.533017110512	0.405311817007	0.438908154648	0.448645041049	0.841870389691	0.754099512681	0.91678005384	0.425304799751	0.350733439916	0.357207299063	0.278740946132	0.297516103506	0.290041278075	0.795937217823	0.795627355727	0.690929193515	0.329076250666	0.299678128525	0.336413683505	0.364788095173	0.80233087871	0.598240101709	0.700055709661	0.577171146638	0.602982633043	0.378296810341	0.36908682061	0.426021956059	0.322802052919	0.442468527718	0.525426103651	0.483824499529	0.345639123424	0.379201690058	0.539373252424	0.474197342097	0.504653160957	0.71385448245	0.628733326045	0.601769268459	0.625429756017	0.471006657848	0.519336312614	0.529249818174	0.443830711202	0.429525784241	0.410447846245
